variableMetadata	MT	mz	mzmin	mzmax	rt	rtmin	rtmax	npeaks	Bio	Blanc	QC	isotopes	adduct	pcgroup	name	formula	monoisotopic_mass	chebi_id	hmdb_id	kegg_id	pubchem_id	inchikey	inchi	kegg_pathway_family	kegg_pathways	kegg_subpathways	annot_level	annot_confidence	standard
M184.9976T1.13	M185T1.2	184.997558844142	184.989532026726	184.998719229116	67.6306418148305	65.5907018186567	70.6136996885695	34	18	3	13			486															
M185.0323T0.96	M185T1.3	185.032311876849	185.029666788929	185.038727947964	57.3573305401079	48.0138878768057	67.7731931028365	119	42	3	21			1777															
M185.0698T4.54	M185T5	185.069790536598	185.068720286821	185.070553074561	272.25456288874	269.353794612807	276.18684290844	76	40	1	17			4289															
M185.07T4.27	M185T4.1	185.070033116861	185.068572740949	185.070624775414	256.297690107857	255.030243458219	258.211430902851	53	36	2	15	[153][M+1]2+		2501															
M185.0817T7.11	M185T7	185.081730570957	185.080979950189	185.082080384731	426.332319411586	424.302422424787	427.08645874383	57	40	0	17			38															
M185.0921T1.14	M185T1.4	185.092130584197	185.091308572618	185.092656705328	68.6348738178793	67.8582917362245	77.2952818168825	68	42	0	21	[147][M+3]+		487															
M185.1158T6.32	M185T6	185.115777997555	185.114409877423	185.116342123619	379.282235545075	371.847836788749	381.665662347749	60	36	2	21	[154][M]+		527															
M185.1182T5.55	M185T6.1	185.118203993478	185.117122852928	185.118719270229	332.868063756761	331.276960273039	334.705730598251	53	37	1	15			88															
M185.118T7.07	M185T7.1	185.118008623779	185.1168872694	185.118612359785	424.167451577035	421.809508697589	429.82618836122	55	37	1	17		[M+H-H20]+ 202.122	38															
M185.1294T5.17	M185T5.1	185.12940694638	185.12815984952	185.130203933239	310.423533844906	291.864836672634	310.981549636534	64	39	0	20			3681															
M185.1291T3.25	M185T3	185.129118934455	185.128568834652	185.129753818458	194.782859741576	191.862047520037	197.043135861786	50	35	0	15			4579															
M185.1542T8.19	M185T8.1	185.154228079587	185.153188863778	185.154974290942	491.203621344541	476.093875480964	507.264724009497	50	31	2	13			37															
M185.4316T0.62	M185T1.5	185.431591209706	185.43044263179	185.432335825023	37.4730722241078	36.6886578553424	38.3476904439483	65	42	2	21		[M+Na]+ 162.443	14															
M185.521T1.07	M186T1	185.521031812523	185.514524893002	185.521787251328	64.4266581753973	62.7009308274014	67.3686469117163	60	37	0	21			4570															
M185.5904T1.08	M186T1.1	185.590407557233	185.586207646659	185.591208172873	64.9077117116407	63.524646075465	66.4606118507483	56	40	0	16			4571															
M185.7149T1.12	M186T1.2	185.714876823692	185.713990914231	185.716058221637	67.0606775628424	66.7768779779046	67.4833088242729	55	40	0	15		[2M+Na+2K]3+ 228.115	18															
M185.9604T0.8	M186T1.3	185.960417892086	185.959329830823	185.960961656644	47.9605599352983	47.5647974349285	48.3082434556832	62	41	0	21			1263															
M185.9857T1.68	M186T2	185.985749136986	185.984703097506	185.986265026021	101.033745946084	100.540210117286	102.320750568242	54	38	1	15			69															
M185.9897T0.07	M186T0	185.989662989814	185.983821961241	185.990091277598	4.21542595184135	2.71001911272869	4.96310232230962	41	24	1	16	[148][M+3]+		1835															
M186.0083T1.11	M186T1.4	186.008269782588	186.003774285307	186.013056871043	66.8276913415847	56.1639288471507	67.3686469117163	26	13	3	10		[M+H]+ 185.001	18															
M186.0406T1.54	M186T2.1	186.040625233972	186.039813045745	186.041069419582	92.4916352320439	91.1338140737436	93.7721386036979	50	35	0	15			2826															
M186.0549T0.83	M186T1.5	186.054915677897	186.053742991819	186.055452429881	50.0612535396209	49.7407373300767	50.4427958325879	63	42	0	21			1264															
M186.0593T4.19	M186T4	186.059307409793	186.058659296869	186.059850182114	251.147138317468	250.261904771081	251.964845196854	45	32	0	13			2502															
M186.0769T1.53	M186T2.2	186.076905919082	186.075981377465	186.077430581925	91.9050848866372	78.7449730397332	94.1014501483921	54	32	0	14	[155][M]+		2827															
M186.0767T1.02	M186T1.6	186.076659556179	186.073873043255	186.082811899832	61.1804829970991	59.5744933170258	67.4398744472848	63	41	0	16			26															
M186.1128T1.11	M186T1.7	186.112820573177	186.112109484147	186.113749546567	66.3229936952855	65.3239591686523	66.7614448066712	60	41	0	19		[M+K]+ 147.153 [M+Na]+ 163.125	18															
M186.1135T5.8	M186T6	186.113467026081	186.112219012976	186.11400067133	347.905179826981	344.710048485276	350.593520140392	59	41	0	18			2600															
M186.1191T6.32	M186T6.1	186.119116770754	186.113810250515	186.119693204145	379.161547183373	377.912771180753	380.329497673594	51	38	1	12	[154][M+1]+		528															
M186.1499T6.62	M186T7	186.149852214806	186.148554050149	186.150391660125	397.472112582984	396.387585271007	398.80978514355	63	42	0	21	[156][M]+		529															
M186.186T10.17	M186T10	186.186008318047	186.184890741048	186.186547077081	609.975899595992	594.810511253508	610.654721160915	67	42	2	21	[157][M]+		2424															
M186.2224T8.63	M186T9	186.222367098988	186.221212597687	186.222919918368	517.704161547427	515.177743441263	520.369590368847	61	37	3	21			85															
M186.2225T7.95	M186T8	186.222461977319	186.221161613143	186.223036251322	476.961251418436	472.393529012794	494.254042149789	61	38	3	19			91															
M186.8225T0.97	M187T1	186.822529389087	186.819346113785	186.828682454778	58.3372006879052	56.0985039254781	68.1877248140425	64	36	0	13			53															
M186.9567T3.32	M187T3	186.956719360042	186.955978632735	186.957466911045	198.927636779605	197.083349026661	200.17993935416	49	33	1	15			13															
