variableMetadata	set	gene	chromato	name	chebi_id	annot_level	annot_confidence	kegg_id	kegg_pathway_family	kegg_pathways	kegg_subpathways	hmdb_id	pubchem_id	formula	monoisotopic_mass	inchikey	inchi	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag	WT.KO_fold	WT.KO_BH	WT.KO_signif	M.F_fold	M.F_BH	M.F_signif	oplsda_vip	biosigner	mixomics
M229T1_Dodecanedioic.acid	metabolomics_liver_hilic_neg	MX2	hilic	Dodecanedioic acid	CHEBI:4676	2	a,b	C02678	Lipid metabolism	Fatty acids	Dicarboxylic	HMDB00623	CID12736	C12H22O4	230.15181	TVIDDXQYHWJXFK-UHFFFAOYSA-N	InChI=1S/C12H22O4/c13-11(14)9-7-5-3-1-2-4-6-8-10-12(15)16/h1-10H2,(H,13,14)(H,15,16)	M229T1	229.144757552045	88.7216398338418			11	NA		0.331604554980997	0.579601883266131	0	0.251134874941469	0.624720095406914	0	0.754701119233559		0
M326.4061T16.68	metabolomics_liver_hilic_neg	MX2	hilic			NA												M326T17.1	326.406116301796	1000.64389389394		[M-H]- 327.409	31	3	@M325.9043T16.67|+13Cdb	-0.207849629002524	0.579601883266131	0	-0.0778955103601842	0.832354700665054	0	1.14491111417796		0
M379.8894T16.68	metabolomics_liver_hilic_neg	MX2	hilic			NA												M380T17	379.889387453876	1000.5429917267	[585][M+1]-		31	3	@M357.9079T16.68|+Na|@M378.8865T16.67|+13C|@M441.8904T16.68|-(H2O)-(CO2)|@M451.8778T16.68|-(CO2)-(CO)	-0.199884134061401	0.579601883266131	0	-0.133811356745335	0.679761304878083	0	1.25128765239701		0
M717.6646T17.11	metabolomics_liver_hilic_neg	MX2	hilic			NA												M718T17	717.664570711127	1026.45305088316		[M+Cl]- 682.686	28	NA		0.156274331177309	0.579601883266131	0	-0.137078027965439	0.538247735907567	0	0.700936183335203		0
M480.1842T8.64	metabolomics_liver_hilic_neg	MX2	hilic			NA												M480T9	480.184198728887	518.325511034147			1291	NA		-0.912419647084578	0.579948439526156	0	3.90007839616283	0.000875298440789539	1	0.487515614225154		0
M242.2207T1.32	metabolomics_liver_hilic_neg	MX2	hilic			NA												M242T1.2	242.220673951344	79.399924625413	[328][M+1]-		5	NA		-0.377971139288448	0.579948439526156	0	-0.622441712806619	0.156754185530457	0	1.00501302763897		0
M408.1629T5.36	metabolomics_liver_hilic_neg	MX2	hilic			NA												M408T5.1	408.162913123746	321.509250288905	[625][M]-	[M-H-CH2]- 423.182	9	314	@M409.1665T5.36|-13C	-0.318753126789304	0.579948439526156	0	0.119567932923701	0.803050576614746	0	1.04793517740433		0
M363.0687T11.88	metabolomics_liver_hilic_neg	MX2	hilic			NA												M363T12	363.068685531888	712.993325088613	[562][M]-		1046	280	@M364.0722T11.89|-13C	0.292254972044798	0.579948439526156	0	0.307410002244914	0.454736536977009	0	1.25290234270588		0
M447.3129T1.46	metabolomics_liver_hilic_neg	MX2	hilic			NA												M447T1.1	447.312864028648	87.7975192360164		[M-H]- 448.319	11	NA		-0.257126480032703	0.579948439526156	0	0.743454840268809	0.0170599423102371	1	0.854130367532726		0
M303.9223T16.68	metabolomics_liver_hilic_neg	MX2	hilic			NA												M304T17	303.922340911359	1000.54876893412			31	3	@M325.9043T16.67|-Na	-0.248317679101074	0.579948439526156	0	-0.107665061283218	0.806531635538864	0	1.17914902875439		0
M302.0555T6.25	metabolomics_liver_hilic_neg	MX2	hilic			NA												M302T6.1	302.055537989265	375.258162338476			7	NA		-0.146138186563327	0.579948439526156	0	0.227613355806042	0.234829256257636	0	1.06023753110793		0
M531.9199T9.22	metabolomics_liver_hilic_neg	MX2	hilic			NA												M532T9	531.91985783869	553.325225093697			6	52	@M433.9431T9.23|+(H3PO4)|@M629.8968T9.22|-(H3PO4)	-0.138027215759472	0.579948439526156	0	0.661697799980153	0.000299912711312119	1	0.657428004359943		0
M259T9_�..D.Glucose.1.phosphate.	metabolomics_liver_hilic_neg	MX2	hilic	α-D-Glucose 1-phosphate;D-Glucose 1-phosphate|D-Fructose 1-phosphate;1-O-Phosphono-D-fructose|Galactose 1-phosphate|D-Fructose 6-phosphate|D-Mannose 6-phosphate;Mannose 6-phosphate|α-D(+)Mannose 1-phosphate	CHEBI:16077|CHEBI:704854|CHEBI:17973|CHEBI:15946|CHEBI:49728|CHEBI:35374	2	a,b	C00103|C01094|C00085|C00275|C00636	Carbohydrate metabolism	Amino sugar and nucleotide sugar matabolism|Fructose and Mannose metabolism|Galactose metabolism|Glycolysis|Pentose and Glucuronate interconversions|Starch and Sucrose metabolism	GDP sugar|UDP sugar|Fructose|Mannose|Galactose|Glycolysis|Glucuronate|Sucrose	HMDB01586|HMDB60467|HMDB01078|HMDB06330	CID65533|CID439160|CID65127|CID439279	C6H13O9P	260.0297	HXXFSFRBOHSIMQ-VFUOTHLCSA-N|ZKLLSNQJRLJIGT-UYFOZJQFSA-N|BGWGXPAPYGQALX-VRPWFDPXSA-N|NBSCHQHZLSJFNQ-QTVWNMPRSA-N|HXXFSFRBOHSIMQ-RWOPYEJCSA-N	InChI=1S/C6H13O9P/c7-1-2-3(8)4(9)5(10)6(14-2)15-16(11,12)13/h2-10H,1H2,(H2,11,12,13)/t2-,3-,4+,5-,6-/m1/s1|InChI=1S/C6H13O9P/c7-1-3(8)5(10)6(11)4(9)2-15-16(12,13)14/h3,5-8,10-11H,1-2H2,(H2,12,13,14)/t3-,5-,6-/m1/s1|InChI=1S/C6H13O9P/c7-2-6(10)5(9)4(8)3(15-6)1-14-16(11,12)13/h3-5,7-10H,1-2H2,(H2,11,12,13)/t3-,4-,5+,6?/m1/s1|InChI=1S/C6H13O9P/c7-3-2(1-14-16(11,12)13)15-6(10)5(9)4(3)8/h2-10H,1H2,(H2,11,12,13)/t2-,3-,4+,5+,6?/m1/s1|InChI=1S/C6H13O9P/c7-1-2-3(8)4(9)5(10)6(14-2)15-16(11,12)13/h2-10H,1H2,(H2,11,12,13)/t2-,3-,4+,5+,6-/m1/s1	M259T9	259.022703140152	557.280475876106	[357][M]-	[M-H-H20]- 278.042	6	NA		-2.71765674594904	0.580878717156088	0	-0.147790414261141	0.993530513234597	0	0.999253060975512		0
M317.1124T8.24	metabolomics_liver_hilic_neg	MX2	hilic			NA												M317T8	317.112353072265	494.224732875212		[M-H-CH3]- 333.146	15	NA		0.454062755403228	0.580878717156088	0	-0.11488156255464	0.85894268674316	0	0.93290452056723		0
