dataMatrix	X501f	X502m	X503m	X506m	X508f	X509f	X513m	X517f	X518f	X521f	X527m	X528m	X529f	X531f	W616f	W617f	W620f	W621f	W622f	W623f	W625m	W627m	W628m	W629m	W630m	W631m	W632f	W633f	W634m
M146.0191T0.72_2	15.7507760590884	15.7434210511997	16.1825388437234	16.061526608142	15.8114818235515	15.6965348390053	15.7073773645478	15.5598902649668	15.5527074982019	15.6847017171168	15.6547019798258	15.4019932277275	15.7955352782147	15.5191966439362	15.8933134476771	16.0295052329315	16.1281491229294	15.6193491711742	15.8910157528101	15.5907555588849	16.0648274500396	15.9722984516851	15.8557122221153	15.305326095379	15.6140690412676	15.7799993187558	15.7229565691202	15.7261383747641	16.0014202429483
M146.0301T0.72_3	15.7507760590884	15.7434210511997	16.1825388437234	16.061526608142	15.8114818235515	15.6965348390053	15.7073773645478	15.5598902649668	15.5527074982019	15.6847017171168	15.6547019798258	15.4019932277275	15.7955352782147	15.5191966439362	15.8933134476771	16.0295052329315	16.1281491229294	15.6193491711742	15.8910157528101	15.5907555588849	16.0648274500396	15.9722984516851	15.8557122221153	15.305326095379	15.6140690412676	15.7799993187558	15.7229565691202	15.7261383747641	16.0014202429483
M212.0032T1.38	11.5608166584216	11.5180089795421	11.4325635055189	11.5977387239367	11.7393022252035	11.5954142434691	11.0746167577336	11.2853484022536	11.5040050041558	11.5582311279321	11.473151442635	10.880561506953	11.9071770801787	11.330571288145	11.6568880463299	11.7211267896234	11.7110517990685	11.5920710357878	11.4453636942678	11.5783306999305	11.6116354084258	11.6712384411371	11.26928586984	11.4863949975612	11.5806856642981	11.3353549291436	11.4225590689436	11.6676922520303	11.2721694875469
M702.2112T9.81_2	17.1319023639254	17.6201472024362	17.7309920714286	17.5097600526671	17.055638533847	16.9044471724564	17.6750265526346	17.3310886841146	16.6810075472432	17.1515964091516	17.2657078930066	17.5966318721681	17.0859355051623	17.1941645355455	17.0409299731226	17.0736960944679	17.2227590912498	16.8171621725414	17.1294926125714	17.0010661349268	17.2061705847522	17.5240642989675	17.6484827154467	17.7769077372462	17.5147929829252	17.3558007428877	16.7592150479349	16.788650125836	17.5120342922943
M671.6736T9.05_1	11.240293886588	11.5881981214599	12.1621166282681	11.9245545322225	11.2948867623205	10.5579972052676	11.5472371396353	10.8723933342514	9.36841834662988	11.1925046579509	10.3866031736989	10.8549551914368	10.6269160739763	11.3105726080688	10.415653010554	11.1271899085042	11.5750743438579	11.4981124849514	11.4392272565725	11.0441449851983	11.1658200583189	11.0274743913561	11.0194827686842	11.9925761669496	11.960921524887	11.9247846498343	10.8269624956676	10.5676807117863	11.8015278558592
M872.6922T10.13_4	11.9645746730326	12.4152145736217	12.9299576808035	12.9566840795518	11.4900737455184	11.7805305252657	12.8696396137062	11.8109230275485	11.3107062736662	12.2413412194445	10.9669112851473	11.6408822196437	11.9946951412157	11.9539263330013	12.0475847576689	11.5933093472798	11.5485900928436	11.1605232655479	11.7796403746939	11.7950451769134	12.6462244353805	12.5311221113238	12.5921410031331	12.1637760812612	11.5353336369247	11.5596157085852	11.7790851699769	10.6118980732369	12.4449056482723
M606.0433T9.97_4	12.674191032096	13.8304190252626	13.2166074259765	14.0922436671643	12.970190666655	12.4943363280977	13.2902770408739	12.8451785804043	14.7222896257341	12.739794994442	14.1671669490017	13.2653940018376	12.2107688727583	12.6603850153196	12.3643590761199	12.7881744442859	12.7727324165205	12.7540279335413	12.9760656403605	13.1199454882425	13.8999945900048	13.8495901354636	13.5831336861021	13.2140055457483	13.8005823550147	12.996542109341	12.2365056126381	12.7994605093622	12.7732833451504
M507.3277T15.84	10.7161836050985	11.3215976780926	11.5608805358353	10.7950707220853	11.4019012220912	11.060705870045	11.4305539838044	11.6588196507044	11.0233094290528	11.0120543341427	11.4185642580137	11.9719940755817	11.0629221692107	10.3453833420006	11.1001053212561	10.9157230363451	11.7293052883813	11.7045932189069	11.4389756533557	11.2023722860382	11.4044196173517	10.8505534054315	11.7137701566421	11.7496683490603	11.5091194078176	11.7724601520003	10.6540336446604	11.4109733991392	11.115657090648
M554.3142T15.61	11.1174951195069	10.9094610804048	11.6440504033225	11.2043878327027	10.8631127319261	10.7091057506489	10.8260874928913	10.535994010545	10.7695804784755	11.1519238555225	10.5799980739577	10.8531010992586	11.016838784549	11.2304703226756	10.8072273787739	10.6921084749475	10.7313625542746	10.174625808268	10.7592407306175	11.4500407478024	10.4001732668038	10.3443193310332	10.8261138438866	11.1093902833505	11.0510584695131	11.0744687996747	10.842511099068	10.9054966761733	11.3484056326181
M163.0601T0.91_1	17.1887658243934	17.2686046129959	16.7564105733193	16.2452441787816	17.4172785687466	17.2376093420738	16.5740293994153	16.8288636846953	16.8708726008234	16.5117018916005	16.8949242685855	16.246269893445	17.1470800412335	17.0521649383972	17.5864377099613	17.3353336579193	17.3712715241449	16.2924202653408	17.3082102578365	16.971968638024	17.0168045389969	17.1104570260216	16.5951516494472	16.3282661671248	16.8399625266535	17.021746418239	17.0454731097668	17.2299022391738	16.7885901697686
