dataMatrix	W616f	W617f	W620f	W621f	W622f	W623f	W625m	W627m	W628m	W629m	W630m	W631m	W632f	W633f	W634m	L818f	L819f	L824m	L825m	L826m	L827m	L836f	L841f	L848m	L849m	L854f	L859m	L862f
M755.0545T6.29	17.9897539280549	18.1335904708278	18.069567122753	18.1997583301457	17.8647504778908	17.7187309164792	18.3957668526187	18.1903036808989	18.3031422366231	18.2897241875233	18.5318675310189	18.6118045144364	18.2819680150322	18.244996208177	18.2890616352393	16.6139476471772	16.986296162487	16.754912155038	17.3587733006505	16.4541781537714	16.9083129273631	17.3441263497554	16.6833561733792	17.4598216147259	17.0547578912272	17.2528590177979	17.210821380006	17.1047764101561
M366.1866T4.47	13.7802377096158	14.6622523712787	14.4332411547631	14.8567818108878	13.7149992616423	13.9915952952816	14.7004738836938	13.7080521546679	15.5978441735745	15.0260435225081	15.9846508971562	15.0402088495184	14.7014430417486	14.9974220596418	14.6076562873346	9.66366923654801	11.7727407784877	11.5490578551488	11.7920677472304	10.6008075421485	11.3969204789908	12.0291216907645	11.8023191710515	12.3270559939982	12.1852729432786	12.3628913521912	12.5612413433024	12.595097183791
M830.6581T6.29	16.9069455525967	16.8645948276553	16.961648943117	17.0089579097338	16.7687447646328	16.4712141690658	17.1173402816147	17.108366933588	17.0860271790931	16.9220925325981	17.1703175525595	17.270565647342	16.8660940203452	16.9627631870524	17.082463774931	15.2979131715224	15.7660396788788	15.5577252678746	16.1061701069206	15.5661934705865	16.0011690336181	16.205524687429	15.3287981644617	16.3197803753684	16.0091340064608	16.0564637419552	15.6965145663049	15.9737440869159
M613.6959T5.57	13.7608632049455	14.5509704181217	14.4413927661147	13.4808953862519	13.3986705894755	13.787632004988	13.8239688603818	14.5778741979497	13.8754952373309	13.378861383584	13.8301981666617	14.0244302115412	13.653371725941	13.8338816719139	12.2280276953816	10.8060945532488	11.4568215649059	8.57637247443701	10.2044725479702	9.73496078086298	8.82628577077769	11.2035774169067	11.9620719837184	8.96765105111055	11.391784288537	10.775825921248	11.4263485788057	11.4541049296052
M550.1199T1.23	16.5560395672948	17.6074359664533	17.5147288090566	16.0637649731464	15.973553630714	16.7004475665147	16.8205526925044	16.8752985755978	17.2480518189103	17.4404509719571	17.0639720736494	17.7088974160297	17.2296373024904	17.010239604293	16.6161366804864	14.1423872847259	14.1689087064846	11.3342870563165	14.5245674231044	14.2768219651769	14.2911787285337	14.5304834270739	15.3777888007087	14.1044991228491	13.0888045056398	14.363351446492	13.5893991732752	14.1223851525775
M830.1574T6.29	16.6885819203233	16.7582007439103	16.6295622336346	16.9052766245171	16.5770354676103	16.3574130700369	17.0231592952775	16.8266289947841	16.9432913067067	16.9627036710793	16.9721889755549	17.2435072769461	16.8415828970365	16.7670140948346	16.9168974979764	15.4496261545493	15.6715092839947	15.5583308139632	15.964498234772	15.3081319115836	15.5116831836445	16.1865204128558	14.9331605848504	16.1617014502289	15.9466759919645	15.5426400290049	15.5211831961715	15.7779513038702
M830.458T6.29	17.5238790614842	17.6048919410908	17.6017677114697	17.7445366721001	17.3956691878628	17.2871804457183	17.8468739894733	17.7900019202767	17.7339874594018	17.7614928951148	18.0441658368522	18.2094890387175	17.8085407381802	17.870891134413	17.6840385750956	16.3127481652012	16.4604011657601	16.2950441986497	17.0058583379062	16.3491346065762	16.4240325401479	17.0752189620714	16.2983265649881	16.9503409169786	16.8167062428996	16.7002962836969	16.6119572610327	16.7877509425396
M306.9156T4.07	15.5249036407579	16.1092593091193	16.2262470936644	16.6410534086906	15.61278795284	15.714767456085	16.1586825609373	14.9763510068705	17.2045868820902	16.8522097226928	17.9944045439181	16.6824748473819	15.9886973704653	16.6518963696449	15.9600263351292	12.6333442199253	12.1258839054301	12.7993844120215	12.3443808955682	11.800414292235	12.2401156405057	13.4834223156128	13.42056888672	14.1471930729119	13.1899672486206	14.3547243630892	14.3936887000829	14.0326200511653
M692.3848T6.29	16.290116392039	16.4108494973306	16.4515121299222	16.5059178193304	15.994351300428	16.0577685702761	16.8671556005696	16.7770350924638	16.4966519842289	16.5645847943133	16.8231602942514	16.918174882805	16.4514947521834	16.437290196566	16.5050339920165	14.8630720373229	15.0601337903732	14.8467577625806	15.4669781872204	14.9215855253226	14.9934689650876	15.7423025059158	15.2023004160134	15.8088661377087	15.578273317038	15.6047135651768	15.1791572364762	15.4102633850336
M490.5198T4.31	15.0200963256086	15.4888396345086	15.7983347949664	14.245891473262	14.2298345850286	15.3809671288159	15.5564341886433	15.3641933664987	15.5942450522868	15.6281014948345	15.7717462326616	15.5478566490108	15.5609935003644	15.110345452761	15.0875413773392	12.8022804466009	12.996205225599	12.2858794109572	13.6900899899886	13.2427713130529	13.2820877465632	13.0303589113133	13.6475302476347	13.8751235667938	13.317814827352	14.1298734656331	13.6510689638808	13.9621981744969
