variableMetadata	set	gene	chromato	name	chebi_id	kegg_id	kegg_pathway_family	kegg_pathways	kegg_subpathways	hmdb_id	pubchem_id	formula	monoisotopic_mass	inchikey	inchi	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag	WT.KO_fold	WT.KO_BH	WT.KO_signif	M.F_fold	M.F_BH	M.F_signif	oplsda_vip	biosigner	mixomics
M325.0904T0.68	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M325T1.1	325.09036439911	40.9025253495354			1360	NA		-0.241011524856367	0.182637787539508	0	0.238350367157523	0.3002547085317	0	0.779431507950924		0
M559.3482T5.88	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M559T6	559.34817456985	352.658367434499			2858	NA		-2.49779386147791	0.182644926638736	0	-1.68341148742547	0.479381014489678	0	0.741938834407653		0
M361.523T4.26	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M362T4	361.522994850116	255.587581356058			1665	NA		1.74430806245306	0.182644926638736	0	-0.637258314413762	0.802620671894427	0	0.981688815759828		0
M321.2076T6.48	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M321T6.5	321.207640435925	388.808158752436			2707	NA		0.571355157664414	0.182644926638736	0	0.767280137756813	0.162936011798461	0	0.59100308917499		0
M157.0334T1.89	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M157T2.13	157.033391702333	113.111683622148			2	NA		-0.450490013618024	0.182644926638736	0	-0.129351245453385	0.763989766094813	0	0.808113448684852		0
M600.4368T14.58	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M600T15	600.436822953851	875.093058444394	[1221][M]2+		43	709	@M600.9384T14.59|-13Cdb	1.69370995606178	0.182666938649122	0	-1.58024832573208	0.335837470865565	0	0.948403771226163		0
M362.2129T5.35	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M362T5.1	362.212872356934	320.817134697631		[2M+Na+3K-H]3+ 473.874	16	NA		-0.296446983271423	0.182873692129665	0	-0.101202850037307	0.722903548779727	0	0.729714941431163		0
M269.1072T5.8	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M269T6	269.107188837444	348.248084758298		[M+2Na-H]+ 224.131	58	NA		-0.547759905384945	0.182924875366669	0	-0.402151222155457	0.442604357530443	0	0.818112125295963		0
M291.9771T0.72	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M292T1.2	291.977054409498	43.2303127458613		[M+Na]+ 268.986	4	NA		0.415693882887304	0.182924875366669	0	-0.494961147276879	0.19068463895274	0	0.908730005755405		0
M157.8085T1.89	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M158T2.8	157.808455718147	113.303250358637			2	NA		-0.530174491805608	0.182961368583157	0	-0.0378362785775792	0.912441196320574	0	0.810319134741104		0
M613.1619T1.03	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M613T1	613.16187715587	61.5415944759718	[1245][M]+	[M+H-C6H10O5]+ 774.208	3	720	@M614.1654T1.03|-13C	-0.164927065888552	0.182961368583157	0	-0.232952966452395	0.140195859827157	0	0.967374708616169		0
M470.1534T0.88	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M470T1.1	470.153430969833	53.0652750367823	[940][M+2]+		4	NA		-0.537447436403607	0.183410808614069	0	-0.164284752909936	0.754099953897499	0	0.802213033423748		0
