variableMetadata	W616f	W617f	W620f	W621f	W622f	W623f	W625m	W627m	W628m	W629m	W630m	W631m	W632f	W633f	W634m	L818f	L819f	L824m	L825m	L826m	L827m	L836f	L841f	L848m	L849m	L854f	L859m	L862f
M113T2.1_Dihydrouracil.1.Methylhy.	14.89350692	15.3484168	15.58147063	14.80326806	15.84008673	15.48180848	16.68807889	16.4765894	15.48851807	15.84646432	15.94697514	15.26235606	16.3002101	15.77338955	16.23667876	16.96120083	16.82348737	17.24699825	17.43860558	16.99547866	16.75243997	15.84371219	16.13796999	17.51770018	15.12752472	16.05989207	15.46457602	15.21735895
M292.0362T6.79	18.00904074	17.69120235	18.35969552	18.61909264	18.18155169	18.42083363	17.7928443	17.80866949	17.34309461	17.86061841	18.31207284	17.59536749	17.12574743	17.95737926	17.57360873	17.26236925	17.74387916	17.7074926	17.16876906	17.25229492	17.49650429	17.83097625	17.69225655	17.25770826	17.44672955	17.97198804	17.52691869	17.7399177
M128.0103T6.06	0	15.16303417	16.39270673	15.40456574	16.3645482	16.80199967	0	14.04996001	16.07685516	15.99432901	16.94056715	11.0883164	7.840030276	12.76945207	9.930736551	16.2902962	18.9616889	17.80803083	17.12623755	17.35068495	18.46658127	18.49569581	17.36080966	17.24340514	17.33377153	17.69764781	17.44309893	8.270834682
M537.4896T1.3	20.39454434	20.79702501	20.83507969	20.4514013	21.01213278	21.221488	21.18055812	20.44273802	21.72124024	22.30816902	21.58555125	22.04642196	21.06567251	21.22269233	21.84870545	19.30112975	20.71762288	20.05727389	20.97526513	20.21852067	20.78781012	22.06331476	20.35205313	21.19221394	20.48522397	21.05581994	20.76366706	20.23583427
M246.992T11	14.37529199	13.44253664	15.96074568	9.17269952	14.17235172	14.69111918	14.08563843	16.01593898	14.07690075	12.55349778	13.80087867	13.10220932	9.526020087	14.33920699	14.38952648	15.46448832	15.68997396	16.55622358	14.97599436	16.04402819	14.56763647	14.89697612	16.20214047	16.42501178	13.47698157	14.81868652	14.06612872	14.09703297
M524.1754T8.82	19.9110897	19.60946734	20.52503517	20.86200163	20.40580315	19.75163558	20.64830316	19.79162285	20.48407549	20.83884537	19.6574664	20.20480276	20.38650247	20.07478695	20.86474536	19.9685304	20.34805813	20.07513962	20.06484931	19.78312326	19.94575959	19.33749625	19.56365025	20.53323276	17.978749	20.37158098	18.27580942	18.64936636
M293.0635T9.81	16.46678753	16.81462878	17.25516968	14.13153949	15.92392794	16.33657246	17.14527842	16.78343312	16.95381223	16.97839095	16.57700802	16.920882	17.21960625	16.44171093	16.88428263	15.000974	15.88080938	15.10244285	16.73898417	16.31009848	15.93372523	15.10403478	16.83285665	16.59110695	16.07915516	16.22153936	15.85441065	15.65448443
M548.0868T11.19	15.74556982	14.94869939	15.3364424	13.96795391	15.21716254	14.270353	15.84463638	16.01415236	14.21789259	14.07660602	14.54937918	14.59837184	15.02838526	13.97591512	15.27308456	15.69564889	15.92433306	15.57385484	16.48771225	17.39054349	15.73604275	13.58205493	15.95282268	16.79526348	15.72152246	15.32713788	15.02216058	14.83204246
M128T5_D.Pyroglutamic.acid.5.ox.	26.61153085	26.55771247	26.99789233	26.79687609	26.68679745	26.59571154	27.10789621	27.3830342	26.9082664	27.38742589	26.81828155	26.57979554	26.98194751	26.85887229	27.20646095	26.2662621	26.619998	26.51179434	27.03403303	26.81074485	26.69743839	26.87198401	26.83303193	26.61766283	26.34037309	26.6744056	26.37692595	26.62275963
M279.0837T8.73	17.18213826	16.56642632	16.857749	16.2277904	17.55871292	17.07881691	16.16680409	17.44369632	15.07976643	14.59722271	16.3154291	15.05528837	15.32213906	15.72166957	14.40467658	14.7193102	15.47910511	15.19482994	12.13801447	13.12572051	13.76461661	16.25072051	16.65342171	13.296856	15.71247326	15.1165182	16.27768188	16.6198775
M389.1306T7.39	17.49834204	16.8068202	16.4466391	17.34112439	17.09871065	17.67521416	17.28336151	16.73683659	16.56167906	17.54669555	17.72507596	17.15659073	16.45824575	15.95672213	16.81370354	13.9746727	15.49588594	16.52527977	14.94642703	16.10528059	16.23343749	16.80322174	15.98913058	16.59700806	17.84036795	16.51432695	17.4489503	16.91312433
M581.1333T8.88	14.9685984	15.6656951	15.85700854	9.62184785	15.06789017	15.93597072	14.99542975	16.00441119	15.44652538	15.92133632	16.38690961	15.51123595	16.05829113	16.97961945	15.63912163	13.96738299	13.97256073	11.83091128	14.51643381	10.53753584	13.00725087	14.79927403	14.90153113	14.88204069	14.5752816	15.26610316	13.90150237	13.23267604
M431.169T2.89	15.31080056	15.99809102	14.84572427	15.30355709	15.14840468	14.58764569	15.46024886	15.21763552	15.74775007	13.95870948	14.65936547	16.26462897	15.71259954	14.23089783	15.01982873	15.56459937	16.13884294	14.49369849	16.24905177	15.94447919	16.18022173	15.73155159	16.00088666	14.39790054	16.59979156	15.92763076	16.03885685	16.2692982
M974.3493T11.12	13.66241582	13.04591372	13.04805427	11.03398111	11.17866796	11.89548895	13.17545147	12.01001681	0	11.2520285	12.77145625	11.21969431	11.36629434	12.56033068	11.76615494	13.63065278	14.22996713	14.38693418	13.53318492	13.14063025	12.5520391	13.28327374	13.89666541	13.41233035	13.72244788	13.16870001	14.10055722	13.42334181
M530.2796T2.2	16.57636167	16.19445408	16.45500977	15.70584456	14.64878336	14.97407216	12.55661622	14.62165871	14.53850543	13.18692158	11.59861272	14.16981933	16.20610052	14.76096886	15.4364539	15.95006374	15.26633673	16.04464236	14.31041326	15.76722674	15.20404838	16.69417286	15.7724749	16.43704004	15.58670289	16.49902103	15.22498369	14.87554443
M530.2802T1.51	17.47426048	17.36667396	17.38615383	16.92133656	16.14249062	16.30892433	14.73579293	15.63283137	15.82856668	15.36868754	14.68043645	15.60423294	17.34180719	16.5784094	16.78171317	16.92870226	16.52428842	17.2550627	15.94964937	17.574374	16.60970251	18.43099436	16.6129966	18.09615149	16.73928091	17.51812908	16.28722611	16.15679216
M493.2231T3.44	15.6519898	16.28672632	15.24987416	16.98775697	15.63420498	16.22614686	15.88616287	14.42499227	16.51053456	15.61828655	17.0090205	15.5332412	15.10940178	17.26508665	14.33226877	13.01905952	15.06957144	14.71248347	13.6600349	13.08980085	14.82030164	16.85611302	14.96817582	12.84874518	15.92188114	15.47024832	15.4786919	16.20395378
M535.1481T6.08	16.10789134	16.00326623	16.7877725	17.38051264	16.40393755	17.29106905	16.50119778	14.11055427	16.77778955	17.52630437	17.2455917	16.80070782	16.61436765	16.45667157	18.21356372	16.24296324	16.2819628	17.89164963	18.37047159	17.46152181	17.02404557	18.54172735	17.0399493	18.48249287	17.39549062	17.22116038	18.01125456	18.01349606
M174T3.1_Indole.3.acetic.acid.Ind.	15.13797734	15.03971931	14.99038322	15.56568791	14.84957956	15.11924228	15.45447474	16.7044481	13.77652762	12.99699207	15.59832821	14.83842445	13.71419614	13.80194475	15.33560564	15.4861421	15.04754146	15.37996008	14.9737014	16.46022822	15.49919376	15.78572371	16.16293	16.04750056	15.44585581	16.11625704	15.14196462	15.48882395
M124.0517T2.19	13.77124994	14.1958009	14.9671327	0	8.578353231	14.21890127	12.93379644	11.59658262	13.08658626	14.93549339	10.49332659	14.1151401	7.594768932	14.50613825	15.72836196	12.76381924	14.37209046	17.77851896	17.74417466	18.88917614	17.53795762	12.20461713	8.720668791	16.75067162	15.78354203	15.00605154	17.41994778	14.82155245
M930.2883T11.4	15.56708086	15.46809165	15.5378569	15.57790172	15.32846036	15.50197181	13.85660449	14.81416185	17.20515846	16.56025371	15.90070811	15.82295963	14.78824422	15.79355683	15.36278663	13.18251276	13.49524795	13.99736122	14.27908021	14.07485059	13.4146205	17.41614354	14.20279266	15.96744648	14.31900029	15.04203081	15.03048481	15.15897253
M550.1631T8.58	15.20828238	15.22799717	15.44991565	14.88720157	15.55218095	15.47528695	15.44853094	15.77134915	14.09461876	15.05379737	14.69953884	15.51214971	15.02809168	14.22290054	14.64273372	14.61568596	14.53315693	14.77405606	14.89181787	14.58261774	14.66116905	14.84422125	14.35102893	14.64304388	14.57887446	14.98486033	15.12367808	14.16960249
M122.0332T1.93	10.76074857	11.83924678	11.38759633	12.18609062	11.60366336	12.784788	12.28691961	11.78338357	13.78241835	10.51182851	13.30960561	7.7611932	13.15396173	12.88166983	13.21024889	13.06242963	11.95418507	14.19266588	13.9260285	13.43815869	12.58631269	13.73592968	12.28365193	14.42612141	12.76861507	12.74655033	12.51921028	13.34978255
M496.1442T8.7	16.01944978	15.8081912	16.93748877	15.37973101	17.44762488	16.30794893	14.48830022	15.92948982	16.00780694	15.69414075	14.91474576	14.96773916	16.6487213	16.3095721	15.96057465	14.24002582	15.15967822	14.81131297	14.30492024	15.8967548	15.45146099	16.06846635	15.29140312	16.18666347	13.77003407	16.68967727	12.78029902	14.8415953
M345.0957T5.81	16.03299296	16.04593901	15.80119125	15.33760483	15.96284134	15.61894407	16.29140941	16.17995573	15.90992027	16.16132638	16.07104226	15.67720678	15.39953762	16.2678856	16.02028203	15.41253082	15.58791226	15.57746984	15.08191237	15.22702585	15.36724239	16.0747233	15.98728156	15.64048955	15.82788475	15.66070792	15.65315073	15.81493939
M301.1657T1.4	14.48502612	13.81774216	14.7857707	15.3037433	15.77150623	15.81928024	17.11980743	17.47546746	17.8255197	17.15169245	17.69681271	17.49580195	14.47718021	15.27621057	17.92024293	16.88698256	16.21508835	18.39018953	18.18659161	17.65789968	17.55788023	15.45649367	16.56529936	17.89244914	17.10554026	15.32595012	17.38620016	15.10758898
M507.4419T1.31	16.66296594	15.65606588	15.84909571	18.03375582	18.29393095	17.69523169	18.00553903	17.6046039	18.13995448	18.73523174	18.43183627	18.89903734	17.20863351	15.1230346	18.25616445	13.82634192	16.14840409	16.65499257	17.50426502	17.01190096	17.44996835	17.55524518	15.69707127	17.53998572	16.92962828	16.58848598	16.99936476	17.28789271
M257.1397T1.51	13.45805538	13.83263194	14.58068491	11.96017791	14.5750972	15.06614765	14.49412118	15.51528805	15.04783792	15.97022972	15.33185466	13.12689012	11.57357619	14.63887368	15.13553495	15.27779955	14.66894646	16.24530758	15.9933911	15.66026754	15.33661604	16.0596457	14.72790185	16.78274743	14.23719577	15.30054454	15.70711347	13.32547693
M310.0314T2.24	16.2447821	15.68343603	16.83564459	16.04686885	15.0311304	12.8627803	15.92844134	15.31283759	13.77471912	10.6718692	11.79547638	14.68779229	15.1795888	16.00753454	13.53179569	13.94375928	16.58868829	16.16684291	15.14835106	16.08827728	16.81123795	14.4698739	16.26597996	16.79786794	17.24526858	17.20549068	16.20766317	15.12983881
M225.063T4.34	22.74751467	23.36759685	23.69647168	22.38283745	22.51407399	23.16515558	23.25824799	23.3697258	23.54339379	23.72677279	23.05293565	23.60544041	23.69967041	23.04418798	23.93520408	21.07845966	23.07688343	22.4084303	23.29690319	23.09580456	23.10499299	22.23539256	23.43015492	23.4019538	22.1207223	23.5965789	22.50155903	22.16254407
M458.1801T8.39	18.2264724	17.97330498	17.98735618	15.31604389	16.79633245	16.43203323	17.75744535	16.79211794	16.66333711	17.09910429	16.55392428	16.9250873	17.50517887	17.62056708	17.17666599	17.36257057	18.23766699	18.14121008	18.02675252	17.1812639	17.67636896	17.50298715	18.26616064	18.09134395	17.67924366	17.81737343	17.40499018	17.07174516
M159.1139T9.58	15.95997387	15.96356433	16.64295964	15.78620549	15.79622126	15.68697209	15.55338537	14.88865381	13.18852928	10.8754592	13.35912408	12.57483896	16.40178006	15.94131454	15.01178698	16.11124645	16.38654253	15.64986671	15.27370799	15.04605449	14.66005577	16.51335241	16.38322457	15.72699643	15.09638449	16.32144871	14.93789422	15.66897018
M384.1157T6.76	19.28805633	18.79359124	19.20760707	16.92092734	17.95550972	17.77994245	18.80628088	18.36601308	18.0841653	16.24686119	18.21509309	18.51919855	17.89325353	18.51870117	17.32908855	16.88271349	17.17420497	16.8120256	17.3369528	17.74065764	17.965087	17.84539878	17.90747223	16.58911258	17.62488968	17.53111565	17.68178539	17.72731158
M310.1261T7.93	22.43787091	22.58611868	22.9748443	22.45169634	22.1640169	22.81731003	21.55996517	21.9417619	22.82793285	22.94146946	22.91045627	22.25530553	22.061741	22.64113801	22.78757879	22.3610892	22.50987864	22.85750458	22.87484668	22.70684166	22.76528691	23.0306338	22.80901601	23.23006457	23.38947931	22.62435506	23.47650655	22.85313591
M537.2131T4.07	19.53010643	19.51138514	19.13784395	18.43553354	19.21403874	18.49046155	19.73961994	19.35173273	19.49162668	17.97472098	19.25773795	19.62327906	19.2412598	19.31304289	18.20072623	17.20996162	18.92968231	17.9743933	18.07519708	19.16882414	18.39774105	18.29951347	18.98391657	17.56905158	18.9539503	19.06430175	19.11899885	18.8563085
M228.0283T6.62	14.28326564	14.35701172	14.18422915	14.2047316	14.30977617	14.43000752	15.5168345	15.61934337	15.82190923	14.18032489	13.98918603	14.67342779	15.68998242	14.46848722	14.63410598	12.99690171	13.70933157	11.20206381	11.95496799	14.65360868	14.76018611	13.99255779	14.62604094	12.96613175	14.54964751	14.9800195	14.45080143	14.34951484
M429.0905T5	14.30649252	16.95450873	13.20226665	0	13.99948302	14.99833127	8.930766605	12.74037507	16.98862922	16.6536988	17.22527146	17.07952645	15.4142776	14.83941886	16.62758376	17.54841329	17.78366076	16.33118988	17.27674781	17.49077568	17.00081428	15.2049375	17.85449831	18.4715109	17.78310439	17.89196759	18.27462066	15.49651615
M412.1103T6.79	18.12062112	18.27567577	17.24262614	16.41985289	17.49595649	16.665465	17.38052448	17.26126488	16.59633086	13.86887752	17.30464989	17.21751	17.26559765	17.4307196	15.73230551	16.72167198	16.58061396	15.57231209	14.80786153	15.8091054	16.12338305	16.00007991	16.95042604	15.39434445	16.94705129	16.45977115	16.21917552	15.89405866
M906.2947T8.92	15.6871646	15.61648021	16.01846927	15.00320341	15.75306733	15.78703734	15.38573469	14.55813308	16.1066897	16.29901497	15.75501743	16.3751742	16.1999838	15.80191318	15.31598271	12.87543318	14.4551506	14.7704693	15.41427893	15.44044746	15.13036182	15.70787055	15.17877999	15.48053463	15.33751528	15.52484531	15.73076598	15.38808155
M245.1145T4.69	21.04741751	21.00408465	21.61831066	21.22199002	21.10810837	20.67197464	21.93415049	22.34717474	21.18186016	20.42867095	20.56270918	20.9203863	21.69077128	21.23154348	21.25282075	20.27987578	21.06137515	20.51129904	20.56402944	21.21098816	21.39175177	21.14887623	20.66666697	20.10473823	20.5831691	20.94568315	20.02665176	21.00454281
M657.0957T7.53	16.81824014	15.46127511	16.98123948	15.14389256	15.93361367	16.19386875	16.76740729	17.23849804	16.2986789	15.42437102	15.6147708	15.93977203	14.92101152	15.91323912	15.67642241	15.85415738	17.05958	17.40781793	16.55852834	16.69095556	16.43440311	16.75966456	17.31604195	16.54680872	15.96694879	16.41533427	16.28495745	16.67689644
M360.1301T5.49	14.45713139	13.98797186	14.35450698	12.33279687	13.97944753	13.12806603	14.09203033	14.91275698	14.138483	12.63949989	13.67832174	14.1813798	14.22784153	14.02322936	14.35686939	13.04400556	13.56597909	12.70334624	11.97581287	13.48379689	14.0139664	13.63861466	13.82272517	12.8952691	13.41900684	13.94687613	13.26501487	12.51198386
M455.154T5.18	18.27937888	19.01148362	18.63878058	16.65825054	18.54852242	18.30058225	19.25904118	19.49123991	19.60046449	19.03843035	19.10886592	19.57680576	18.76986205	18.34442465	19.52188411	19.18671177	19.96475825	19.6279588	19.85071152	20.41198674	20.38876569	17.8492487	20.28638968	19.821665	18.80966075	19.69801854	19.41635655	18.27080449
M544.0901T9.09	15.07978434	15.8359591	16.08225988	14.83347619	14.70729064	15.43123249	15.33440808	15.13960051	15.82533373	16.72647629	15.36688293	15.3896589	16.66636272	16.59004196	16.95347578	16.449646	16.19630205	16.25956509	17.9875688	17.18777927	16.78211391	15.56284402	16.43588997	17.74138008	15.23492294	16.95903066	15.81835399	15.77297123
M282.0657T8.05	20.4127838	20.17386497	20.37335904	17.54797219	19.66392009	19.07037308	19.7098833	19.87632029	19.15824651	16.53575044	18.21531211	19.80446618	19.8680198	18.69701098	18.30535953	17.70083388	18.94801269	17.58525085	16.32634574	18.56427344	17.93688404	17.58035795	20.03153833	17.90997392	18.83927115	19.09413466	17.18950994	18.45896645
M592.1489T6.98	15.08312318	15.170941	15.93246991	13.13597712	15.003979	15.48728548	15.36639394	15.72508102	15.77759745	15.85739206	15.65721264	15.73851585	15.30670896	15.01265509	15.72348177	12.96513727	14.7996641	14.23748709	15.51668464	15.41481338	14.91143834	13.72370254	15.41329042	15.38178626	14.82852528	15.15855683	14.59613151	14.79488237
M200.0333T6.59	14.91761636	15.7682337	15.41529878	16.07184926	15.39278597	15.57014299	15.83403817	15.47664243	16.80606245	15.74376782	16.02463931	15.55310487	16.29847951	16.36343547	15.73701913	16.29286046	15.9526473	15.80453743	16.23569322	16.09732994	16.7040252	16.17850555	16.09703009	15.89700804	16.29265757	16.28171328	16.27238211	16.22730156
M175T9.1_Allantoic.acid	18.08828825	17.19633413	18.53872699	17.53014492	17.74725088	17.74067081	18.06358784	18.08050736	17.38698065	17.97738167	17.66653609	17.38597864	17.79829712	17.94559186	17.89739466	17.73836741	18.28334794	18.84200744	18.26860642	18.20071761	17.77590601	18.03123327	18.55304725	18.03360152	17.71913075	18.2257257	18.09631469	18.03130651
M261.0482T7.06	14.71405604	15.06281603	15.31079985	14.58289584	14.8265331	15.18693326	15.82799984	15.07259154	15.37217231	15.54546045	15.61509824	15.57424286	14.94944739	15.43745202	15.85503975	14.001007	15.11861993	15.53332852	13.74998148	15.37372535	15.58488296	14.17874031	13.8466931	15.98760199	14.03464681	15.52364496	14.64840253	14.43067077
M362.1032T6.68	16.54108678	16.3458018	17.30036418	16.52539831	16.71788122	16.73711132	17.71912474	17.30866877	16.52429623	16.07116924	16.21534605	16.6862967	17.33395109	16.83409324	17.02399253	16.88904045	17.27630437	17.18403752	16.81350315	17.65668671	17.56560863	16.76800723	17.76466494	17.07451886	16.96303604	17.40028658	17.07542901	17.09558349
M329.1125T8.76	20.04441547	19.11621906	20.09727602	20.20078249	20.49430677	19.86265128	20.60620277	20.50343174	19.10872327	19.60195881	19.37189424	18.764548	19.74234793	19.26511642	19.21268684	20.17570669	20.12518768	19.92153662	18.95503884	18.51609281	18.96280424	18.06001824	20.15192205	19.1161561	17.63565294	19.44958838	17.6771016	18.32417219
M209.0669T7.37	23.20064182	22.24064461	22.04285701	22.7789079	23.54684349	22.81636574	22.70233652	22.39920568	21.65287823	22.26660785	22.62718741	22.24917973	21.81700354	21.31571511	21.89120891	20.541661	21.52156306	22.05826858	21.28037319	21.78732511	21.47754682	22.18590985	22.07074268	21.46102424	22.72556805	21.50671484	22.48385193	22.28200415
M443.1073T4.1	18.18403509	18.56424664	18.23618428	20.47657317	20.79605942	19.10904044	18.026417	17.73378065	16.32681655	18.46127799	18.28018128	20.0481396	20.76745951	17.228411	18.33137316	19.72709699	18.06060886	18.70645959	0	14.7777423	17.20136584	15.01043938	20.70282455	12.01217267	18.47494606	13.04293617	13.18568818	16.55554133
M464T2_Glycocholic.acid.N.cholo.	16.19151442	17.4603871	16.3470275	15.30156979	16.50491967	15.2835091	12.7450419	14.06277051	11.34573677	13.67749393	12.11362074	14.52594895	16.48014803	13.37825285	11.96082661	15.37775584	16.55113806	15.32070185	12.08641525	17.69306151	14.43369432	17.96489811	15.81802788	16.36750519	15.94175351	16.0147711	16.17960707	14.64605969
M203.0563T10.2	14.9619624	14.81765623	15.25080728	14.73777917	14.92656749	14.83919542	12.37554016	15.59514324	14.38259498	14.4010815	14.97112992	14.42131207	15.34132944	14.64777994	14.87530828	14.92654109	15.76617922	15.52903578	15.11373688	14.54554371	14.46161757	15.67479032	15.09135315	15.02424582	15.70659665	14.76130813	15.5897553	16.24862937
M147.0299T4.61	17.77538597	17.89825662	18.09848115	18.32980625	17.92501991	18.56695944	17.91986173	17.8732823	18.60532052	18.51196136	18.62247108	17.86259775	18.48295072	18.61082799	19.22764611	18.19332428	18.4451912	18.84692489	19.7344138	18.7058637	18.87237139	18.82820924	17.95980505	19.77849348	18.2945042	18.93002189	18.76475107	18.35899247
M429.1268T7.94	20.98566755	20.92639301	20.05450893	21.25491327	21.72081496	21.00901531	20.67246505	20.95198543	20.46470627	21.27120938	21.00073384	21.03255496	20.2247707	20.17865391	20.11549584	19.07008163	19.99575611	20.01953915	19.84998518	19.94824316	19.03999132	21.37678357	20.48185854	18.87352942	21.50743947	19.97498167	20.82174752	20.79402472
M395.096T5.91	16.64093685	16.24689087	16.12667342	16.81277145	16.97772935	16.43613649	16.6096158	16.55306946	16.25642396	15.7391179	16.40672486	16.25660308	16.04186018	14.9500332	15.12545545	15.09094107	15.8238501	15.26090079	14.16298132	15.61578681	15.4694733	16.16647832	16.16144921	15.29533094	15.97382896	16.01952688	15.96552773	16.42334131
M295T1.3_13S.Hydroxyoctadecadieno.	20.2825274	20.18810707	20.03881854	20.23884203	20.22176765	20.30586359	20.40688489	20.28068469	20.85060044	21.30002907	20.67186669	19.88271483	20.19089168	20.59839514	20.18298228	19.60157513	20.27630391	20.32702079	19.78204718	19.53649349	19.60091632	20.62762917	20.28868024	19.93546723	19.78686114	20.19996823	20.27321281	20.11001297
M172.0615T4.39	16.33740552	16.63944105	16.20573999	16.04149617	16.11093795	15.8226027	16.17384731	16.75931997	16.06889413	18.88417768	18.01959887	15.71994384	16.52179502	18.51347779	16.59234593	15.8973312	15.23873947	15.91748467	16.97377359	14.93634486	13.43560255	16.97451766	16.52524795	17.09440557	15.64223845	15.30316856	15.80276953	15.1344195
M244.0596T6.68	16.15390684	14.54787658	15.23684835	15.14226425	16.13047042	15.94127599	15.61004495	16.30296497	14.99200272	14.79306372	15.1312541	15.24081332	15.07193492	14.11827925	15.01910636	11.66545184	13.80715062	14.0818845	13.56650243	15.10404707	14.93043567	15.5534964	15.26354467	13.41533774	15.10187475	14.30184482	15.53427643	15.52161608
M627.1226T8.66	0	13.19800342	13.17423599	0	0	9.173638914	10.88306403	0	13.20588929	10.84968579	0	10.3723449	15.61754007	14.29258406	15.5915241	13.96176168	13.39211882	11.06874537	17.57532725	16.93739336	16.1784079	9.375611399	12.51536844	16.84396398	10.04545253	15.49556245	11.06289275	8.8065551
M558T9_Adenosine.diphosphate.ri.	11.98233659	14.35884141	13.90178895	13.77307222	12.41609263	14.27676271	13.86021792	13.06679069	13.83189604	15.26529418	14.8385057	13.46699921	14.99278215	15.42029909	15.32889577	14.57807426	14.63485075	15.17363888	18.6197543	18.33596601	15.94386686	14.8299952	12.82910946	15.88971309	13.60879769	15.45598984	15.05107636	14.10330502
M125T2.1_Thymine	19.06884707	16.79521693	18.14414615	20.38847156	19.61898445	18.77253156	15.42631115	19.03919629	18.84332803	18.1676672	19.29733747	17.97736386	19.00233972	18.19948646	17.9451263	13.88378996	17.07619848	13.00942601	16.46440993	16.77002383	16.95531057	17.5912086	0	17.36306872	17.81426682	17.43154175	17.0611742	17.89389112
M508.1092T8.57	12.75154594	13.38951438	11.77383771	14.79920724	14.40541607	13.20966811	14.47455582	13.84504404	14.7329189	14.40829988	14.92672685	15.16942633	13.59162753	12.20461302	14.95151285	13.37135739	13.97625264	14.35592641	15.14659811	15.30159979	15.57198841	14.96765722	13.51786497	14.91405292	15.41829044	14.20318203	15.02577761	14.45450751
M220.0983T1.51	15.80374392	15.38157979	14.89485565	14.19431749	14.95252059	15.10495783	14.87172239	15.97898277	14.57845938	14.43240749	16.03083221	14.538503	14.86495605	14.93112392	14.30371226	14.52891007	14.10709608	14.28951174	14.03441555	13.82607969	13.67551274	12.96381113	15.11209166	16.20853978	14.65217051	13.5750511	14.31132614	14.99494339
M355.1362T3.65	20.28210995	20.0100937	20.4138789	19.52942388	19.78312006	19.87179246	19.72453867	19.99382017	20.30270139	19.49507447	20.01050352	19.48394072	20.41051139	20.25351282	20.3164086	18.85577763	19.46779558	19.66557326	20.28342414	19.20605091	19.53184765	19.22578312	20.40019672	17.64963019	19.84835107	19.90846739	19.64067389	19.49145542
M223.0476T2.81	15.54987399	14.63875775	15.3038289	17.10239815	16.17327093	14.90191902	15.38498404	15.00711051	14.84367967	14.9558424	15.01778014	15.08596243	11.23351902	14.10654577	13.49248038	12.19788412	14.11131909	13.14616228	11.4174016	13.92351041	13.97626338	15.11055508	11.05835032	13.06894668	14.58823737	14.18002102	14.54896817	15.47083329
M251.1293T2.49	16.70146756	16.18927538	16.00789977	17.51333899	16.25288215	16.0150515	16.91120939	16.70192911	16.99471583	17.78839017	18.08467606	16.24256325	15.30694637	17.0275648	15.79392407	14.61005822	16.53827867	16.42368649	16.17948306	13.93131556	15.00174112	17.11005402	16.08240231	15.18716492	16.38176396	15.80881012	16.28389085	16.52212203
M302.0653T3.12	19.85572624	19.27636798	20.16913718	21.55668753	20.31486643	21.08043761	20.24269265	20.02677332	19.7745281	19.76727731	20.68055354	21.44030905	19.33728891	18.8482265	19.67861957	20.27488428	20.82839375	21.00577461	21.29904196	20.74693496	20.26139023	21.66832885	20.02900677	20.37600665	20.5356304	20.59891302	21.12833548	21.2584723
M516.2791T1.49	19.82823552	20.76470397	19.82083167	19.37438831	19.91764669	19.89584136	17.34532294	18.22461269	18.26704634	18.29881258	18.39387474	19.43021323	16.69229811	19.3887886	18.39151758	20.08771274	20.18259561	19.24449856	18.57111934	21.62880239	18.47877949	22.73236702	17.84745563	21.26929393	19.83917349	20.21361688	19.8695333	19.63805969
M118.9987T9.63	21.14735606	21.18293278	21.53155408	20.87812767	21.19938518	21.07307457	21.65775137	21.16225303	20.91558828	21.52274484	21.13653983	21.04951588	21.13160602	21.43462484	21.51752214	21.68686006	21.58336365	21.89019357	21.92923142	21.79795136	21.47100631	20.87786724	21.82897639	21.85306366	21.05586441	21.7476173	21.80224855	20.76969536
M255.2334T1.31	27.18366465	27.5362196	27.66154671	26.81068317	26.80842803	26.99019302	27.91679183	27.76084081	28.15277144	28.16105776	27.76783247	28.0760493	27.47384335	27.64961166	28.10102382	26.53303434	27.36246928	27.29493818	27.51625933	27.39246656	27.49450028	27.85020419	27.16507208	27.64942446	27.25257632	27.49015318	27.3927596	26.5936336
M317.1614T1.5	13.17759161	12.71301484	13.09672092	0	0	10.97852457	15.01169288	15.4638248	15.56112592	15.17773408	15.61228885	13.3823106	0	13.19891016	15.51370971	15.59055781	14.22341652	17.04708023	16.78526854	15.62637382	15.59610209	13.00089788	15.06662993	15.86702289	15.3172522	13.5817655	15.51240499	12.71427665
M323.0291T8.64	16.98476556	18.337175	18.93502718	13.6022523	14.6461514	17.28068832	16.69789743	17.27892763	18.93193554	19.24469134	17.82482701	17.92911448	19.18171861	19.30605702	19.09725159	16.38743915	15.32468616	13.73807114	18.70426842	17.69426265	17.05348473	14.11490542	16.34704152	18.40726693	14.79015959	18.02229141	15.27773163	15.06694814
M643.1178T9.84	16.27637907	16.11950533	16.59516408	15.86754034	15.64265589	15.35603993	16.34287714	15.62290891	15.15243578	15.27738839	15.14981538	16.08679678	15.78447075	15.02150055	16.29774669	16.22662066	16.27474213	16.80930968	16.86943841	17.15574421	16.40531617	15.9335157	16.31679328	15.69001844	15.69020073	15.5116526	16.26800169	16.1069994
M611T10_L.Glutathione.oxidized.G.	25.14855335	25.01089923	25.37637161	24.76369223	24.88926591	24.83183896	25.44722949	25.03969215	24.58254309	24.72133788	24.72392753	24.73998328	25.14510354	24.96691328	25.25862433	25.14586165	25.43385983	25.61511241	25.61789305	25.46022565	25.4823148	24.68186399	25.23233089	25.61204357	25.12024266	25.18292202	24.96487082	24.87587124
