variableMetadata	W616f	W617f	W620f	W621f	W622f	W623f	W625m	W627m	W628m	W629m	W630m	W631m	W632f	W633f	W634m	L818f	L819f	L824m	L825m	L826m	L827m	L836f	L841f	L848m	L849m	L854f	L859m	L862f
M221.0123T4.16	21.25254475	22.1108675	21.69098735	20.65273208	20.8549977	21.4581177	22.0159421	22.00263409	21.54004382	21.69833926	21.58133484	21.4787247	22.07892412	22.09734805	22.41619938	21.96034421	22.26208194	22.27676025	22.97731556	23.3753924	22.96881337	20.78360177	22.28216369	22.62375649	20.70481129	22.64658837	21.67963086	21.39457626
M619.2893T1.37	21.6029856	21.85244417	21.73585967	20.90995459	21.44694748	21.17893044	21.65898459	21.41932501	21.5831893	21.20966873	20.95705456	21.61010342	21.83064441	21.62272213	21.62191817	20.86665562	21.63769195	20.77246117	21.00058531	21.45323496	21.28560936	21.2295611	21.65476494	21.53206955	21.0591893	21.55854637	21.01151051	21.18772479
M371.5391T9.79	11.82605029	13.15147104	13.68840222	14.33708037	0	12.79955402	14.54421766	11.02122916	9.2662712	12.17531782	15.32373984	0	0	14.03820312	10.41506145	13.59863528	15.50821415	16.264019	12.16941082	10.37588221	9.600459698	16.16277091	9.601957937	13.21990723	15.26611305	11.72247969	15.23393905	13.88181276
M424.1371T5.44	16.02896686	15.75897425	14.63247726	15.11795837	15.98463852	15.81548712	14.75742908	14.9194872	14.38683519	14.58771834	14.84467193	15.27443458	15.30976161	15.34063146	14.52992158	14.22201298	14.81206396	0	13.68616454	13.95437355	13.88576309	14.91066381	14.53589682	12.40126727	14.72673598	14.42879132	14.24751888	15.42279703
M175.0361T6.04	19.64778426	18.82736504	19.36974898	18.13380598	19.1082087	18.3907664	19.64466801	19.32929203	17.59385065	16.81530699	16.92269357	18.6737359	18.43625851	18.82993328	16.8012486	17.25069812	18.48227148	17.35779253	17.21214676	18.26276701	18.33577502	16.79594579	18.79507351	16.73716679	17.97911478	18.34213936	17.791891	18.26866581
M130T8.22_Creatine	21.4500522	21.30502097	21.76997285	21.48315618	21.16523491	21.54497952	20.41472782	21.30981084	21.53639004	21.44640926	21.51663397	21.10451174	20.75215123	21.414332	21.36443601	21.38926664	21.34747895	21.69473819	20.51984944	21.38806655	21.43389989	21.98102634	21.7873851	21.93016672	22.04470573	21.31026639	22.11065468	21.68012432
M490.8821T9.19	16.1668886	15.77993143	15.95499711	15.52525835	15.70897446	15.80958678	15.98994481	16.03635802	15.32024632	16.07928727	16.14831272	16.05555508	15.78409777	16.03961351	16.27835145	14.82973611	15.77202842	15.68117471	15.95841632	14.90810266	15.5955349	15.85357467	16.10291356	16.10467635	15.43752485	15.98229776	15.88028495	15.50886128
M163.0185T2.88	16.0763864	15.32372858	16.23451603	19.12097947	20.18858281	21.1641575	21.2390717	22.56732389	22.32668567	20.33493665	21.63175124	17.62519942	21.7323869	21.91611527	21.29260978	16.56636597	18.43318116	17.9317815	19.25409186	18.00631622	19.79156276	17.52120245	16.66853601	22.81181524	20.3259521	20.67096565	17.25959248	17.07782755
M252.1105T4.56	20.59585024	20.31248527	21.58412115	21.77681693	21.19248427	21.39844049	21.25827503	21.22706239	20.26362453	21.60622491	20.32182022	20.32109353	21.08529739	20.89999484	21.79178173	19.02243284	20.60865369	20.73817474	21.0268503	20.09550005	20.40437448	22.05008146	19.83582806	20.87994963	20.16090177	21.07971394	20.31686265	21.16789647
M320.066T7.63	17.44377725	18.21559793	16.32951432	19.39942856	19.33157391	18.25343249	19.1995535	17.98953531	17.23556739	17.976304	17.87153891	18.64071343	17.7557743	18.43749201	18.37497917	19.10635182	18.58786833	18.34836249	18.74704268	18.42657189	18.42288727	18.85406086	18.01623102	18.78157711	19.01062617	18.38873374	19.12275521	18.40593172
M298.0465T9.17	18.97610146	18.09513119	18.17224339	18.19356675	19.27740365	18.39677701	18.58774053	18.15818906	17.35843572	19.05801974	19.01682569	18.08915096	17.80113743	18.7288635	18.1819709	18.49445249	18.53305135	18.30673237	17.60848441	16.95446556	15.37314247	18.3843352	19.16558495	17.6456514	18.36279185	17.28342753	18.37789214	17.60164023
M568.2685T1.34	18.98473831	19.12503579	18.98413805	19.11635691	19.04488074	18.61328732	19.25508506	19.32566603	19.51283169	19.15886531	18.75287257	18.96929067	19.58419457	18.7396178	19.66319237	18.91623899	19.40640848	19.06567908	19.31904692	19.72407597	19.67768369	19.28862009	19.51469826	19.55061547	19.25221498	19.37863883	19.11949008	19.21931437
