variableMetadata	set	gene	chromato	name	chebi_id	annot_level	annot_confidence	kegg_id	kegg_pathway_family	kegg_pathways	kegg_subpathways	hmdb_id	pubchem_id	formula	monoisotopic_mass	inchikey	inchi	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag	WT.KO_fold	WT.KO_BH	WT.KO_signif	M.F_fold	M.F_BH	M.F_signif	oplsda_vip	biosigner	mixomics
M812.7785T5.57	metabolomics_plasma_c18hypersil_pos	MX2	c18hypersil			NA									NA			M813T6	812.778528960928	334.460467589968	[1336][M+1]2+		88	587	@M811.7761T5.59|+13C|@M812.2773T5.58|+13Cdb	2.41003844365468	0.402784219464347	0	0.486474097761375	0.848607108622429	0	2.15921072559822		0
M441.227T4.68	metabolomics_plasma_c18hypersil_pos	MX2	c18hypersil			NA									NA			M441T5.3	441.226996726282	280.891278462909		[M+Na+NH3]+ 401.208	101	NA		-0.906417014904511	0.402784219464347	0	0.0222639122637283	0.946003910681899	0	1.85879791385453		0
M530.194T10.05	metabolomics_plasma_c18hypersil_pos	MX2	c18hypersil			NA									NA			M530T10	530.194040108635	603.00892044028			2451	NA		0.814422846666147	0.402784219464347	0	-0.285768353176902	0.6115343867214	0	1.89070285809129		0
M918.3512T6.74	metabolomics_plasma_c18hypersil_pos	MX2	c18hypersil			NA									NA			M918T7	918.351163762742	404.262004562554		[3M+Na+2K-H]2+ 578.916	112	NA		-0.348045705529369	0.402784219464347	0	0.546058903803718	0.0148463264656845	1	1.22451513493254		0
M401.8222T0.81	metabolomics_plasma_c18hypersil_pos	MX2	c18hypersil			NA									NA			M402T1	401.822197535241	48.3388328450687			1455	NA		0.339682138941502	0.402784219464347	0	-0.434858463436248	0.0483260787152987	1	1.60698216164576		0
M185.9604T0.8	metabolomics_plasma_c18hypersil_pos	MX2	c18hypersil			NA									NA			M186T1.3	185.960417892086	47.9605599352983			1263	NA		0.313516392462171	0.402784219464347	0	-0.747327483863844	0.000395698271243249	1	1.19860245248924		0
M785.0894T6.57	metabolomics_plasma_c18hypersil_pos	MX2	c18hypersil			NA									NA			M785T7.1	785.089429973166	394.276059870735			700	NA		-0.253020869358453	0.402784219464347	0	0.185299657268336	0.286368601228002	0	2.06406839920973		0
M176T7_Indole.3.acetic.acid.Ind.	metabolomics_plasma_c18hypersil_pos	MX2	c18hypersil	Indole-3-acetic acid;Indoleacetic acid	CHEBI:16411	2	a,b	C00954	Amino acid metabolism	Tryptophan metabolism	Tryptamine	HMDB00197	CID802	C10H9NO2	175.06333	SEOVTRFCIGRIMH-UHFFFAOYSA-N	InChI=1S/C10H9NO2/c12-10(13)5-7-6-11-9-4-2-1-3-8(7)9/h1-4,6,11H,5H2,(H,12,13)	M176T7	176.071525475391	403.556209991823	[137][M]+	[M+H]+ 175.062	112	67	@M177.0749T6.72|-13C	3.67530393029942	0.403818319618896	0	-1.43611160658872	0.57100269910503	0	1.73960108707568		0
M155.1551T4.06	metabolomics_plasma_c18hypersil_pos	MX2	c18hypersil			NA									NA			M155T4	155.155070527927	243.79514514951			71	NA		-0.919679586702662	0.403818319618896	0	-0.0914300219442481	0.94679629889898	0	1.55754119550004		0
M527.5926T4.97	metabolomics_plasma_c18hypersil_pos	MX2	c18hypersil			NA									NA			M528T5	527.592586675187	298.124138113621	[893][M]+	[M+H]+ 526.585	106	401	@M528.5955T4.97|-13C	0.428435852257945	0.403818319618896	0	0.329608590265874	0.286354298224008	0	1.93865920857775		0
M168T1.4_Pyridoxal.4.Hydroxy.D.ph.	metabolomics_plasma_c18hypersil_pos	MX2	c18hypersil	Pyridoxal|4-Hydroxy-D-phenylglycine;D-4-Hydroxyphenylglycine;4-Hydroxyphenylglycine	CHEBI:17310	2	a,b	C00250|C03493	Metabolism of cofactors and vitamins	Vitamine B6 metabolism	Pridoxine	HMDB01545	CID1050|CID89853	C8H9NO3	167.0582	RADKZDMFGJYCBB-UHFFFAOYSA-N|LJCWONGJFPCTTL-SSDOTTSWSA-N	InChI=1S/C8H9NO3/c1-5-8(12)7(4-11)6(3-10)2-9-5/h2,4,10,12H,3H2,1H3|InChI=1S/C8H9NO3/c9-7(8(11)12)5-1-3-6(10)4-2-5/h1-4,7,10H,9H2,(H,11,12)/t7-/m1/s1	M168T1.4	168.066037511802	53.4953634385467		[M+Na]+ 145.082	33	NA		0.37524008810794	0.403818319618896	0	0.929580173081522	3.7235518246208e-05	1	1.56294284016646		0
M659.3392T5.51	metabolomics_plasma_c18hypersil_pos	MX2	c18hypersil			NA									NA			M659T6	659.339167438233	330.322676046944	[1137][M]+	[2M+H]+ 329.166	88	506	@M660.3428T5.5|-13C|@M661.3451T5.5|-18O|-13C2	-0.274296018716623	0.403818319618896	0	0.539485143447045	0.00271189866561945	1	1.12980603618127		0
M241.1553T1.04	metabolomics_plasma_c18hypersil_pos	MX2	c18hypersil			NA									NA			M241T1.7	241.15533354727	62.5114293551278		[M+Na]+ 218.158	26	NA		0.201712504126366	0.403818319618896	0	-0.135898588532921	0.328009425995122	0	1.90573107319306		0
M132.0816T6.2	metabolomics_plasma_c18hypersil_pos	MX2	c18hypersil			NA									NA			M132T6.1	132.081551960808	372.030088026444			79	NA		4.43466063554299	0.408046995416536	0	-0.115682183635661	0.945408493138514	0	1.57169116774406		0
M588.8187T6.57	metabolomics_plasma_c18hypersil_pos	MX2	c18hypersil			NA									NA			M589T7.1	588.818659231394	394.125814955686			665	NA		-0.321900730462875	0.409128650530239	0	0.0217008047786837	0.903895032482837	0	2.12705343779335		0
