dataMatrix	W616f	W617f	W620f	W621f	W622f	W623f	W625m	W627m	W628m	W629m	W630m	W631m	W632f	W633f	W634m	L818f	L819f	L824m	L825m	L826m	L827m	L836f	L841f	L848m	L849m	L854f	L859m	L862f
M330.0815T9.42	12.645182217898	12.0394096570393	11.2574086932221	12.5217264457387	12.6071674144986	12.4653851196742	12.4395118738351	12.4929508980717	12.1794874994557	11.3831786078161	12.1958885097791	12.5473684673307	11.5554787620311	12.3647396729362	12.3748906336934	12.6525028184996	10.4459210789829	12.1353166980513	12.4915836264668	11.6680062594515	12.3686471222309	12.7374390296069	10.8034754216518	11.9878613015279	12.5019801911848	9.03747603187358	11.1179635070418	13.027127587679
M587.2793T9.74	12.4069222883757	12.9363360533711	13.3839564710083	12.2040159550561	13.1932109090128	11.7080017632407	11.5866203696872	12.7625471636576	10.4518445991174	12.7624851594887	11.4911434277328	12.2401313811131	12.5167891296736	12.1780750636792	12.1979706814395	11.8539968185517	12.2554661408064	11.1096401768	12.1308888848476	11.325499047283	11.9707996024183	12.1703689060917	12.5183704498691	11.4780896313265	12.2198701941285	11.9621252255005	12.9810675815156	9.83728929231064
M197.0224T7.31	17.3601619850872	14.8594642008415	16.7543334675912	17.053347375787	16.655923249293	16.7446340673456	17.2777858290439	17.0427747826756	16.3707470305776	17.0967405510732	16.7985617411561	16.648802337494	17.1387931284004	16.4676340030648	16.9298741876268	17.4775804232407	16.4965889165534	17.0356172842628	16.9387391172209	16.6654296910459	16.815403748458	17.2428417514745	17.4828229023305	16.9764401600067	17.4568322004451	16.7300049587435	16.8640324854719	17.1552924281001
M87.8689T4.22	17.1820334932556	18.1065258238442	18.2826764485896	16.7549129928557	17.7861615624317	16.3504141312861	18.4917324403016	18.5382002856652	16.9847304763769	18.1876834483787	17.8092308939828	18.4833150492925	18.4163125906121	17.6481693188515	18.6218810350081	18.5371581245984	17.3997851003217	18.6657807454371	16.9464770889368	18.3469262259044	19.3548803587197	17.3845682158928	18.5391576835775	18.431020552871	18.2358206536432	18.7315367180925	18.1783917284929	18.3159411898291
M698.6879T17.17	12.3689183356204	12.2942571544272	11.2720869840328	11.0142585841304	12.0007904230254	11.8641780408717	12.2533055421736	11.9320746616915	12.8503089252208	12.9256904572304	12.7099226807894	12.4205612569723	12.4185127773108	11.8242358004849	12.5050828960286	12.5477685452231	12.685657668396	12.8049126420299	12.7168629854535	12.437013840547	12.4772516850413	11.5155826478546	12.3363585562806	12.8532804742079	12.6183074690052	11.7923660910741	12.3904154965328	12.4987815961767
M86.5434T4.2	17.3856161525805	16.2780570297066	18.0140018098474	17.6228526881234	16.2819683346491	17.4286585559511	17.8937355734761	18.0215330415941	17.8815429130996	16.5141279382572	15.7880560994296	17.8437088335979	16.2328716884229	15.5958688682906	18.0750419409459	17.7992652336074	17.6843094940277	16.6838231291212	17.8704647678748	18.405424146339	17.1832133494067	16.4602898218319	18.5157771153804	17.6329601713284	17.4803996853114	16.7286269012033	18.0903490851231	17.9624799766989
M327.1286T3.56	17.8746168406711	18.9597454457717	18.1009904326115	17.5065504574925	17.9553101135167	18.0680852389374	16.6017230228389	17.4321684073764	16.5607561215819	16.8377802349432	16.6076312384262	16.8379259600392	17.5841191830167	18.3837511080618	17.2715924054745	17.6118946567063	17.8944259120875	16.6837224531342	17.41634866615	16.901763251228	15.1978497805034	17.3856357014897	18.0253906593705	16.2857261494214	17.6077443466018	17.6109728055897	17.3249377807917	16.7614992900187
M174.0603T6.51	14.3819286388607	15.5007923363609	15.8813390883027	15.5251417181303	15.0292535774846	14.9533042057601	14.9594107025851	15.5444361494653	15.9988055037892	15.0897093855161	15.4478371735418	15.2192224369785	15.109369347303	14.9645129617856	15.4526942374979	15.1271037638954	15.5677806710375	15.3305410096469	15.0506627648697	15.7601412836789	15.8566965170793	14.9455602397509	15.1694857111441	15.1955728133708	15.7562564212476	15.7732560423328	15.8122443511518	16.2203808188905
M218.9973T2.99	16.5538117788303	16.9962883986884	17.8697161283088	17.9959282196434	17.3813131201539	17.4823422478012	16.5596190472478	17.101181981425	18.2454545157467	15.5383671994838	16.3898542330835	16.8535401848498	18.0590229521343	17.4746802283708	17.7253737192334	17.80217441843	17.8294338160967	18.0002364783245	17.0277504641389	16.7397739968612	17.8193381379583	17.8502568798298	18.596376739802	17.9733556727069	17.0253613050111	17.5821010692598	16.8269235312438	16.7979338513583
M810.7608T12.05	11.2750388296656	13.8725977907488	9.68117405937263	11.0148615552578	13.5107077733977	13.9589958557285	11.280286889997	11.3325657533995	13.9764793295721	15.0017992723688	15.4939660724774	11.4862373476101	14.6897772944064	14.6076642094829	13.8853737227076	14.4324059196455	15.0981438850792	13.9607138408878	13.5940182833257	14.1552434035778	14.0402740875134	12.1506695479524	14.3297719056478	14.2660258630755	14.7527792991733	14.8633561280786	12.8412976338833	11.5391014811
M402.8844T16.45	17.0029392085774	16.9046790753581	16.7056144176975	16.8367123410624	16.9985883805168	16.7947232087906	16.7828973618606	16.9713572964953	16.7946518241908	16.5255599278583	16.888190939554	16.7557674392135	16.9859528560336	17.9573649876459	16.9272103385269	16.912045737846	16.682315825508	16.770778706108	16.6600460597205	16.9886263766283	16.718780002957	16.7799780716042	16.7666046977185	16.8630655965961	16.9468291564598	16.5937629568841	16.691023816253	16.6613991947543
M325.0953T7.41	13.8280450087	11.6203751882726	14.0454297461486	15.1477422335516	14.6593569481995	13.6805783353342	14.9894193003083	15.4263380534384	15.6919014580133	15.4652800337737	15.1459297497493	14.4545231365617	13.7385324792127	14.1007293213019	15.6893008179527	14.9120171032673	15.3647871618957	15.0491411316723	15.0559695513406	14.6711089712665	15.0641541063316	14.5862011078945	15.6650522131753	15.6007331214508	15.078279509038	15.5463100700391	13.557473886793	14.8922156512445
M189.0884T5.05	14.0019169533454	16.4665216812516	15.2041195261888	15.0117904664206	15.8161524620796	14.9567273318749	16.8943844549399	16.7025423749596	17.5875742693903	15.5137674413415	15.4213125911203	17.3678026522148	15.8330818178132	15.6860719291225	16.325481988963	15.5373557117248	15.5563317629463	16.7826036704823	15.9671467598297	16.3402943084806	16.8518658475844	14.2884518507138	15.0841292817178	15.8617021346984	14.7994563331536	15.6444496294863	15.4906319948258	14.6189637536256
M471.0744T2.54	15.6971874169133	15.5944944700111	16.2793024294677	16.386123559379	16.6488191854895	16.0756033685011	13.4474209401049	14.6366631484998	15.2109805256102	12.0606096258822	12.9204463064881	14.5101541797626	16.3787557578559	16.2493603257083	15.2170192797109	16.2515179310294	16.0606422073526	15.6639895539306	14.4350072644505	15.1763838006393	15.1109570970519	15.9573929074887	15.5326070862891	15.1144228710083	14.5354907945164	16.3633277066321	15.1578277954167	15.4736816850057
M264.0178T7.09	21.1041897050213	21.112809789803	20.5787240295025	20.8371219836788	20.9249342525599	21.0634541931385	21.1087734796224	20.8193961854316	20.965904696919	20.8965050610948	20.9472000072052	20.9657827055944	21.1541802849249	20.6773174153266	20.9949357132024	20.9430982809921	21.0320397918079	20.8303208027414	21.1369396077627	20.7680451769534	21.1643660717087	21.1927837138447	21.1959045776337	21.0562823843572	20.9500472009673	21.2115284118071	21.1447999986764	20.953693811633
M234.0817T9.17	13.1830269636047	13.4882925007348	13.1358094176116	12.5481682888503	13.3525621364016	12.8249876748319	13.016595881673	12.9301105965755	12.8893954402792	13.1528187323866	13.2063706700311	11.9282218907007	13.3483214762887	12.9583203538431	13.1808702668753	13.6280356299386	12.6803472785701	13.0981503212127	12.7750507313038	12.1566386470738	11.9014445449673	13.3669667101428	11.3475894708348	11.6336057783326	13.8645190826761	12.1419054837039	12.8904374890072	13.2038339469981
M369.0616T3	11.6762079258636	13.7827760807466	12.5996974979377	10.9154436438064	12.0659454078886	11.3937284675717	0	0	12.3200240167516	10.9534875632835	11.7925300050931	13.2658592984471	13.171010362711	12.1230997918872	7.27093193548949	14.9610352983572	12.8604758180272	12.2102819530437	0	14.6045757964418	11.9559682804579	13.3574076398376	11.3853135029351	14.2624287729429	15.002269638073	15.4341833618466	11.822741981228	10.0633832540846
M86.1388T4.21	17.4602668859736	17.5815920737972	17.0722841425773	17.2983524036832	13.4325296914707	16.9510287586339	17.9233963094675	17.8388635646263	17.3897477141392	17.6586043589547	17.015287012618	17.8185766846539	17.5846214759974	17.1814650102108	17.8093441554712	17.8399427653242	18.0233886265589	17.988321850629	17.7190469769768	17.5147271434274	17.3718373619327	17.335400058011	18.1205826109478	17.1397733586281	17.6538110523065	17.8518614737701	17.5811782540181	17.5521125955118
M155.0312T7.35	15.6089774790499	15.8106200145217	15.9778397093573	14.7602612057546	15.3520292520616	15.0974188319827	15.0779497996513	15.330875583108	14.7539038041019	15.5192765724414	14.4407949147759	14.5459723346843	15.5907012112597	14.4529247573795	15.0263897418613	15.562631612258	15.5314957698187	15.3233323687458	15.0769447006948	15.5944014830436	15.2150698093012	15.2541657665203	15.2608172970015	15.1398785588095	15.5198209734765	16.0257100397753	15.326179063679	14.8581829834114
M86.0892T4.21	17.0921728712105	16.9699811285535	17.0913585921761	17.4082880963603	17.4878796141748	16.9052510961311	17.9504255403781	17.7179441611129	17.8642487370292	17.1551838923263	16.6180432965054	17.1956437919391	17.1865079313827	17.019700555749	17.2307381279827	17.7375028945549	17.9592184255249	18.0630334377699	16.8106635895118	17.9821046674997	17.8095765917302	16.1754020918456	18.2387675064051	16.380400727569	17.6366469454731	18.1388769794416	17.6515333007359	17.6556968728948
M132.0304T6.47	20.2980066786191	20.2466203538665	19.9963865444613	20.9940200180848	20.5583962075022	20.0099789875886	20.4334451251279	20.4530210086495	20.3280063420791	20.1532410850296	21.5122632233251	20.488645585074	20.5968516167902	21.0460009522624	20.9112088605092	21.2607500200983	21.379287946132	21.373657273689	21.1830562141998	21.0971378992614	20.7488817747955	20.6433734095993	18.8384653707281	21.1784010056468	21.83865916555	21.3169793243468	20.7480652037868	19.8798339288587
M97.9829T7.3	21.0103967856258	20.9120831281076	20.9411881523162	20.9911454652646	20.888367816359	21.0495858418069	20.9301509066259	21.039932059927	20.9721832549953	21.3149343947351	20.9375287569535	20.6832378458355	20.7452548082337	20.5449481598061	20.9516772113143	21.1423673337225	20.7112918209039	21.2276962617572	20.7934288091055	21.2352888027741	20.9591369864956	20.963278328032	21.1528853883318	20.9397468607336	21.1329058380235	21.0919470449627	21.0374993215	21.1176069107058
M474.166T5.45	14.1694483979318	13.9791269742505	13.4817826783097	13.6175147367234	14.1399564244867	13.6237247471923	13.7156487273447	13.4154800084513	12.3552907858408	13.0840274982795	11.7161250358	13.3876231160578	14.4433831877076	14.34386030606	13.1901523793116	14.2347919163852	14.1458489492031	12.9932872923852	13.3968006101527	12.4255205483961	12.9663404246957	12.5705919300394	13.2796028682309	12.4933969805737	13.1167462159609	14.337736659425	12.7570968661289	11.3263569892214
M87.2385T4.22	18.3252247079526	17.6280694246553	17.9339989124068	17.7134821057713	17.8888799882973	15.8187072572667	17.3098081973093	16.8785988742948	16.4668168921491	17.9338956577814	17.6430590164501	18.2271998730317	17.2345139161685	17.6658945901148	17.002325841704	17.4669228351478	18.3397034020187	17.8226544652744	18.2425825341951	18.3797805742462	18.9069490519337	16.7840937975326	17.5540005997407	17.0761909448325	18.1132501726956	18.4333191749862	17.7499145773369	16.8143164767165
M277.1123T1.55	14.9576624040884	15.1273344299491	13.1142895187383	14.8177285067852	14.2915391529129	14.1702499362276	12.93266377843	12.7380327544753	13.6754152512398	13.0978649703376	10.3151585318317	12.2961421954152	13.3198672754029	14.5023109434618	10.8163455341906	14.8349798463868	14.5986798246188	12.0610050423999	11.8429361462646	0	11.1015177378424	14.9515866146393	14.5761647657567	13.0249805804407	11.181193630281	15.092979697694	0	14.5916136487751
M145.0257T2.62	13.8858705416538	15.4092864894905	14.8753532504237	12.1139820356894	14.2083331197904	15.2584993203761	14.8818919091144	15.5654278465376	14.7432510395108	15.5153238171576	15.3471656361164	15.269333933355	13.3867862541976	14.3556069492918	16.1457913482823	16.7360182710004	16.0509450938687	16.4385314857586	15.3984111783512	13.8036865811936	15.5379743444432	15.4153612539653	13.9309549874488	15.2844642482167	14.4492699780321	17.5103020146527	13.0377636176372	16.1322363812923
M126.9053T16.56	14.8391819622149	14.8118040193331	15.315853029834	15.1324634420565	14.9802198715739	14.6125813943884	15.124300329442	14.7038178625026	12.8003321376991	14.8063041330837	14.8047574072016	14.0922184851163	15.1214991543128	14.8398496593411	14.669650222754	15.4106526881252	13.7552079869038	14.416832648417	14.9944605755451	15.1803758378761	15.2138032139777	15.4570409093758	14.7968788922852	15.1947718711302	15.2163140281149	15.0571364590819	15.1281741952053	15.005754876763
M267.0629T2.79	13.8447699150086	14.805283530196	14.8458058209657	15.2805210834865	14.4583096350826	13.9268666842885	12.7407983312992	14.1183753373865	14.0083900106506	13.2877628177144	13.391962363131	13.2843204862018	13.3614901724415	13.2004569927499	14.1544816397261	12.7096014470988	13.9088817506372	13.227398608121	13.4518649951196	13.8392004601246	14.5515638748879	15.2059034809125	14.7035165241237	13.9334277247191	15.6426850321853	15.1622689276857	14.8019711998269	14.7183472051678
M174.907T6.34	17.9713309043562	17.2828482403525	17.7697125208483	18.1716908947488	17.6470632193141	17.6428837838707	17.9607013529148	17.4961311906849	17.0883650309988	17.8128759566176	18.0460133502307	17.611118069434	17.284400821093	17.4454592060173	17.2585128670348	17.2844159719118	17.4574987402888	17.0242113540443	17.3344447989884	17.5408260955559	17.7557445150947	17.8861062596469	17.0392640776168	17.3384788106647	17.6990465558303	17.310826100467	17.714187053854	17.5967597281617
