dataMatrix	X501f	X502m	X503m	X506m	X508f	X509f	X513m	X517f	X518f	X521f	X527m	X528m	X529f	X531f	W616f	W617f	W620f	W621f	W622f	W623f	W625m	W627m	W628m	W629m	W630m	W631m	W632f	W633f	W634m	L818f	L819f	L824m	L825m	L826m	L827m	L836f	L841f	L848m	L849m	L854f	L859m	L862f
M112.0068T0.66	15.6910002778098	16.2496053536604	16.2990680121291	16.3231372320325	15.9097661141885	15.677741043217	15.4323267744881	15.2439561996346	16.2685747955194	15.3479553551174	16.2301548057368	14.949785998766	15.8461190816014	15.0401634041877	15.9842679234752	15.8920586255287	15.9005283327314	15.4738937726732	15.4907031922899	15.9979668812799	16.4948988061786	16.101977505666	16.214123334993	14.8716341328593	15.9664116288419	16.1865782891674	15.4653564527285	15.8089117157021	16.2597274640867	16.0716097651939	15.8677362604082	16.5770328396181	15.9732461538685	16.2718570815664	16.1651365559097	16.1849017864889	15.7582882004836	15.6522446230915	16.0981536915866	15.8372819312171	16.1548381498794	16.1775442971397
M128.0199T0.66	18.6211563145898	19.2651505632446	19.4536221835424	19.1968158254114	18.7271630251483	18.6180470631771	18.5517997693584	18.3358610212951	19.1298576766326	18.3135858840709	19.505202308071	17.8810843545802	18.7001625835916	17.9184205906941	18.9227263931247	19.0441523766127	18.8258198616516	18.479379939834	18.5845991497392	18.9720166431588	19.4904788487453	19.0685215176755	19.2502875678004	17.6665504971374	18.9487653134105	19.2669716067477	18.7163908407097	18.8287118529613	19.2371082520203	18.9806252115937	18.8294825002834	19.484660882605	19.036179106259	19.2841930764383	19.057249182555	19.2874780166423	18.5071801295859	18.746913365771	19.0485410856506	18.7449824213726	19.2000953529635	19.149348148285
M129.0206T0.66	15.1961408605062	15.8865035987108	15.99417178556	15.7702691553843	15.1975573243243	15.2558805642548	15.1569416132162	14.8774981941089	15.6180943538102	15.0035207220075	16.0354155898898	14.4978141247493	15.1374531326749	14.7283128829513	15.4650544673545	15.4442252966067	15.4893224452982	15.0460480977131	15.1611954793309	15.4487480759627	15.8642627009596	15.4961453101069	15.6878524236907	14.286608342508	15.5304930235621	15.6770442979926	15.0448714030555	15.2771562431596	15.6610583468258	15.3364887143188	15.4324346489567	15.9023024597701	15.5678751911409	15.7501007308653	15.5775788674833	15.5638479642983	15.1389987149275	15.1390432792103	15.5710894835287	15.3848212224765	15.6616239734112	15.6397642148609
M151.0359T0.66	21.3886937749418	22.0082042017887	22.0674419974256	21.9553411562124	21.4740494207609	21.494945595704	21.4489557015197	20.941402441726	21.8819731258813	21.1616988013737	21.9166869706436	20.7218765400458	21.4458660835635	20.9155115716759	21.6320269794795	21.7621974465538	21.5497469036392	21.7520141436271	21.3024250831321	21.7360809635154	22.0894201698141	21.7755829488399	22.119284385024	20.6698578049986	21.7079831283392	22.1028803025866	21.1089685195176	21.6663717426097	22.0898051829766	21.6983591551179	21.6592232490243	22.1677534197081	21.6275825555068	21.933924020228	21.9009413184386	22.0804046948243	21.4448534185595	21.4614857088908	21.7961204284594	21.5601554920172	21.9052606712826	21.7819998585507
M152.0367T0.66	18.0311207233987	18.7087462605061	18.7294344482747	18.5867150682734	17.9914365838097	18.1336964490101	17.9272227757697	17.5032701311491	18.5461025121836	17.6445273474927	18.6034365279661	17.2775523073183	17.9775327055337	17.5680261663854	18.3254486413878	18.423443591233	18.1920759382016	18.4280809140864	17.9433097102979	18.3647365885538	18.7930595305835	18.4313525112724	18.5666019760051	17.1939865213785	18.3304951252275	18.7253471471098	17.8656017677519	18.2410135046146	18.7589727573131	18.3118350810126	18.3102437704187	18.8914622044834	18.3056003715182	18.6144695405841	18.5507597336002	18.7278442646425	18.0725218085039	18.1045034701798	18.438339291555	18.1851266993515	18.5559384309449	18.4779849823595
M153.0334T0.66	18.1700224276381	18.9507391342474	18.9322021275107	18.8722559060562	18.3227001690188	18.3170358787238	18.0758545810076	17.6772235283796	18.726686463851	17.8979104525226	18.7409756842406	17.4586911420361	18.18935253867	17.6400948744411	18.3960630023659	18.5800883841896	18.3711207938723	18.6043883580498	18.1615072333492	18.5796853796454	18.9145683332626	18.6294451241005	18.8336733465508	17.4195766028962	18.4689971984182	18.8709366209258	17.9694295987111	18.4226476672954	18.9818737733781	18.4853407526904	18.4276198539059	19.0434782463215	18.458525093522	18.8677140649648	18.7126079840588	18.9182412178849	18.2460032099204	18.3008850604858	18.5987784953153	18.3249162840231	18.8146251879566	18.6037621086073
M154.0369T0.66	13.0648661294651	13.9778740071976	13.7384472519126	13.6700362174878	13.4539336830912	13.3575726835454	11.5801620667965	12.8237802336905	13.8433536385027	12.9187264161263	13.8089703798841	12.0662418252015	13.1793344101591	12.019929649879	13.8617222782664	13.6700834385082	13.3486678036574	13.8426311431641	13.3600926071195	13.4659853714122	14.0899463437085	13.9046380302194	14.0432109726133	10.4861628628219	13.7998822157654	14.174116325547	12.8116331519493	13.3852881742394	14.0046799904954	13.4273431365164	13.7066206470733	14.2681017379087	13.444659651318	13.8331182591482	14.1845220029028	14.0887195702244	13.2820526826778	13.0154939529571	13.7774920370214	13.5478405187673	13.8784169797174	13.4966684417699
M156.0148T0.66	14.880866758796	15.4527510976388	15.7724961867593	15.4847503496971	15.3894151115868	14.6147923703977	14.8501298542992	14.8806267191601	15.2354139018188	14.5561920005785	16.0110176778767	14.0824806720928	15.0064448425874	14.0653253465058	15.1362097573094	15.3282778055779	15.1320402466801	14.3559489991419	14.9366053752662	15.0612077548077	15.6909608457132	15.3789081001399	15.5285272048275	13.7527674425056	15.3556749088259	15.3045545423211	14.9259475943566	15.1145190358454	15.3154069196229	15.3292473824176	15.1840290781538	15.772154393445	15.3301944220524	15.5871359287406	15.2898181387381	15.1607725185656	14.3902136214302	14.7456122703137	15.3888161557283	14.9990221572676	15.6291481698202	15.4273391225483
M177.9968T0.71	17.429355621497	18.0513393413923	18.0467214069671	17.9719256238989	17.4232064906042	17.5745395238636	17.4515861524266	17.1216284390286	17.8151373846862	17.0567877955179	17.9446395477543	16.9177971326687	17.4756683907469	17.0460019999556	17.6773725824783	17.6796227616624	17.5633299454946	17.8574459538497	17.428405497682	17.7680605136252	18.1676104751871	17.798485570807	17.8179704801724	16.7157381547411	17.7570741752196	17.9900780701006	17.3187134713293	17.6467838048743	18.1506836342726	17.5675581676635	17.6389211866178	18.2326710473869	17.8026207995214	17.916253401664	18.0588854243444	18.0308431164208	17.3784142484869	17.4932749875557	17.8882441145987	17.6834203098601	17.9469183259786	17.8630638337033
M96.9223T0.79	19.9837664762175	20.0459024115413	20.2055472755372	20.3888294296468	19.6068924279765	19.5913009266376	20.5819492956987	20.1247087993821	19.892097375103	20.127200041859	20.0748051740139	20.1601975983689	19.6872548143113	20.0835855322561	20.0473091977567	20.0974264363727	19.51887940499	19.7066943060842	19.7600514577442	20.0247654192045	19.8665463848134	20.0006984654277	20.37325928212	20.12000894001	20.4828700752152	20.3072203438336	19.8279335623422	19.9974472899626	20.0799973625488	19.572717688784	20.3579721015706	20.2378835774443	20.1539158262462	19.9588713457243	20.1917878132464	19.9458215159756	19.8186418983518	20.421336941226	20.2854704377744	19.8598026949942	19.8293703070805	20.1618945477928
M154.881T0.79	16.8130258751552	16.7122601217463	17.088339169125	17.380609892628	16.4325170408703	16.3316910223339	17.4963725097407	17.153232903064	16.695775754672	17.1560723372539	17.0556936504309	17.3336124908503	16.3430038036936	16.8837689428634	16.6785322499628	16.8085749202463	16.3754721606797	16.8221670205459	16.4688454252512	17.0855194682798	16.7554982815953	16.8529853708152	17.1404367236936	17.1413410565339	17.3920335362866	17.0873932506577	16.6990815077505	16.6349522527464	16.9566809931927	16.3555334375809	17.1346805956036	17.0712841144525	17.0125557088788	16.7464969788766	16.935803925504	17.1763499981682	16.61883659127	17.2170730542745	17.2963013951785	16.7052160219786	16.642908556042	17.2791759799629
M156.878T0.8	15.8482635100725	16.0394525675654	16.2165165160575	16.6643635953675	15.6946705275914	15.6192646792932	16.7814660078055	16.3411405233831	16.0708708650422	16.3406989722208	16.1645835146629	16.5349880291968	15.7325804702044	16.1012320312475	15.8381167608953	15.9195880415742	15.672444604427	16.0244455245302	15.5527284744434	16.3249339886667	15.9737962910856	16.1244310742105	16.4284942642419	16.3199516304628	16.5972314883796	16.4193904287227	15.8550991746699	15.9111615253793	16.0592243187331	15.4772572145364	16.3022281628182	16.3564869480143	16.1876661308734	15.8850304368466	16.2299856531722	16.4258399788903	15.8243403710233	16.5297588775034	16.4775720864423	15.9631938634741	16.033923263091	16.5526717589449
M166.9069T0.77	14.814984546937	14.9890353521152	15.4106181416244	15.360717939654	14.5005994094901	14.3190000770338	15.5347407365166	14.9551593655392	14.7901490351719	14.9498461265814	15.1064895965582	15.0451641601184	14.6162861427152	14.801003679191	14.7221245475957	14.7176329922468	14.4649448235414	14.5582646430204	14.5622621515703	14.9077674614143	14.8086963153634	14.9701610143655	15.215586151259	15.0688028469548	15.3695787456493	15.0397375198496	14.5660648181083	14.9740389316882	15.0308804934845	14.3071558281819	15.0668808512403	15.2355351733135	15.1281192183759	14.7672260575603	15.1124135939673	14.7712680485824	14.667976567718	15.4968612432775	15.3324452300338	14.7973579975432	15.0195089220286	15.2881813283768
M212.8399T0.8	16.7794227590448	16.7753802745886	16.9594517358775	17.2527917159994	16.5242835630221	16.2987413874611	17.4925783859017	16.966392930774	16.7725677383283	17.0436749120145	16.8519170388985	17.2226128228694	16.4626190892765	16.9532726044678	16.762757723694	16.9036798867163	16.3434274628178	16.8008527744065	16.6971213495536	17.0057262861596	16.7716523953026	16.8174280267007	17.1822949581449	17.1225169870727	17.3184635245784	17.1853650524112	16.6545421012012	16.7838451517993	16.9251446964162	16.3235393916742	17.1580042803313	17.0573019826924	17.0042116739949	16.8673751306795	16.9250315351021	17.1311449898067	16.6359571822444	17.2294338316033	17.1253171013404	16.7279735407164	16.7544594191599	17.1693752302997
M214.8369T0.8	16.7777202733247	16.7022886990323	16.9324464785624	17.1520541580428	16.3434514435415	16.41007869553	17.4860051578882	16.9349463947704	16.6404788959202	16.999280501707	16.9078026299271	17.1743896632626	16.4044464183856	17.0228685736238	16.6280941489469	16.8717043388437	16.4061796402778	16.7975728213458	16.4953319238755	16.9730552404846	16.7013276546058	16.7594270410954	17.1218032614095	16.9851429303383	17.2831506141831	17.0549997533017	16.5409767100445	16.6461130813394	16.8557005376314	16.3814000413042	17.092836846531	16.9226371158391	16.9199785467821	16.6866632605297	16.9433122761076	17.0845906320979	16.6033423703434	17.2151710992666	17.2022276935124	16.7770735195335	16.5959484685975	17.0367901038804
