variableMetadata	set	gene	chromato	name	chebi_id	annot_level	annot_confidence	kegg_id	kegg_pathway_family	kegg_pathways	kegg_subpathways	hmdb_id	pubchem_id	formula	monoisotopic_mass	inchikey	inchi	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag	WT.KO_fold	WT.KO_BH	WT.KO_signif	M.F_fold	M.F_BH	M.F_signif	oplsda_vip	biosigner	mixomics
M376.9731T0.73	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M377T1.3	376.973092687726	43.5184519829562		[M+H-CO2]+ 419.969	4	46	@M374.9752T0.72|+34S|+41K|+37Cl	-0.13498165632052	0.495479853541867	0	0.302879908103657	0.0505960197793639	0	0.923221760168877		0
M679.6417T4.97	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M680T5	679.641676374424	298.274508140834		[M+H]+ 678.636	74	NA		0.285297992206592	0.496104476952834	0	0.333297097588439	0.330333595956974	0	0.647642384318268		0
M543.2986T5.26	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M543T5.2	543.298630834558	315.736797806215			16	NA		0.383018971802748	0.496183389399848	0	-0.115364601331093	0.81952256827064	0	1.63262323096485		0
M259.6458T2.63	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M260T3	259.645841772032	158.005485170474			82	NA		-0.26437665973892	0.496183389399848	0	-0.163434706459515	0.659446007808679	0	1.22520892405629		0
M363.1563T1.11	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M363T1.1	363.15630435997	66.7080705460031	[669][M]+		7	406	@M364.1597T1.11|-13C	-0.350420176356312	0.496269248262416	0	0.0240176209488716	0.954315379795375	0	1.29932207976022		0
M161.7532T1.89	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M162T2.12	161.753174250497	113.105458308067			2	NA		-0.231201197572467	0.496269248262416	0	-0.0377814775636836	0.94128779670494	0	1.27767485228207		0
M708.6605T6.15	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M709T6.2	708.660493234605	369.252777489197			64	727	@M620.6428T6.16|+(C3H4O3)|@M709.1606T6.15|-13Cdb|@M763.7101T6.15|-(C4H7.)	-0.220173057062294	0.496269248262416	0	-0.207040135795332	0.457719951211372	0	1.18600398764796		0
M189.1354T0.77	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M189T1.5	189.135397918218	46.2218386812143			4	96	@M204.1544T0.78|-(CH3.)	-0.163928546407533	0.496269248262416	0	0.200950837590387	0.319809264758854	0	1.38488286319038		0
M570.2692T9.4	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M570T9	570.269184522775	563.739175155907			818	NA		-1.31372402437058	0.497576828524568	0	0.559471552457103	0.742888931928419	0	0.996800657199183		0
M645.2644T9.39	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M645T9	645.264352788924	563.199808685889			818	NA		-0.845074511993337	0.497576828524568	0	-0.24910800797837	0.864413327904389	0	1.05222513981762		0
M271.1303T3.13	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M271T3.2	271.130257742197	187.677247809144		[M+Na]+ 248.146	57	NA		-0.553802766534991	0.497576828524568	0	1.19893407869155	0.0613559912861047	0	0.792360506275918		0
M549.2396T8.41	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M549T8	549.239597103804	504.453168293448	[1134][M]+	[3M+K]+ 170.098	19	653	@M550.2429T8.41|-13C	-0.422668714156313	0.497576828524568	0	-0.000894681549135967	0.983701769066875	0	0.638382255251977		0
M361.1913T1.33	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M361T1.7	361.191272306011	79.6686919901733			56	NA		-0.361609359963262	0.497576828524568	0	0.385142143143009	0.393787265823353	0	1.19175822213452		0
M163.1215T1.89	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M163T2.31	163.121513831393	113.180487692016			2	NA		-0.283879762053255	0.497576828524568	0	-0.118971031945472	0.789334317266054	0	1.37014028501645		0
M466.7836T5.68	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M467T6.1	466.783585004428	340.931361426368		[2M+Na+2K]3+ 649.716	58	NA		-0.227758188971398	0.497576828524568	0	-0.512327788141922	0.0237779837419182	1	0.987846261670504		0
M324.0606T0.84	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M324T1.1	324.060578539127	50.447570000605	[559][M]+	[M+H]+ 323.056	4	NA		0.127179420235432	0.497576828524568	0	-0.347744267231302	0.0185387324448338	1	0.954300746683033		0
M299.0828T4.44	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M299T4.1	299.082767651042	266.500252839328			1840	NA		-1.67104359103095	0.497644473732597	0	1.13407119630284	0.589966682020232	0	0.82558004163401		0
M284.1132T5.53	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M284T6	284.113224672336	331.612635490601		[M+2H-COCH2]2+ 608.23	79	NA		-0.348787642515104	0.497644473732597	0	0.678938356270649	0.0939036378657179	0	0.825883840173431		0
M483.5803T4.22	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M484T4	483.580271537528	253.414749294015		[M+H-COCH2]+ 524.591	49	NA		-0.193528826199884	0.497733813354204	0	0.106903261735908	0.669945303783826	0	1.24635376196951		0
